,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3,stimulant,depressant,Continent
48,Americas,Caribbean,Trinidad and Tobago,3.7,,,2002.0,,UNODC Estimate ,,Cannabis,,,TTO,,3.7,America
49,Americas,Central America,Belize,8.45,,,2005.0,12-65,CICAD,HHS,Cannabis,,,BLZ,,8.45,America
50,Americas,Central America,Costa Rica,5.18,7.84,2.49,2015.0,15-64,ARQ,HHS,Cannabis,,,CRI,,5.18,America
51,Americas,Central America,Costa Rica,2.76,4.4,1.07,2010.0,15-64,ARQ,HHS,Cannabis,,,CRI,,2.76,America
52,Americas,Central America,Costa Rica,1.02,,,2006.0,12-70,ARQ ,HHS ,Cannabis,,,CRI,,1.02,America
53,Americas,Central America,El Salvador,2.03,3.93,0.62,2014.0,12-65,Government source,HHS,Cannabis,1.12,3.67,SLV,,2.03,America
54,Americas,Central America,El Salvador,0.39,,,2005.0,12-65,CICAD,HHS,Cannabis,0.35,0.43,SLV,,0.39,America
55,Americas,Central America,Guatemala,3.48,,,2014.0,15-64,Government source/UNODC Estimate,SS,Cannabis,0.44,6.52,GTM,,3.48,America
56,Americas,Central America,Guatemala,4.8,,,2005.0,12-65,UNODC Estimate,"HHS, SS",Cannabis,,,GTM,,4.8,America
57,Americas,Central America,Honduras,0.83,,,2005.0,12-65,UNODC Estimate,SS,Cannabis,0.41,1.59,HND,,0.83,America
58,Americas,Central America,Honduras,1.5,,,2004.0,15-64,UNODC Estimate ,SS ,Cannabis,,,HND,,1.5,America
59,Americas,Central America,Nicaragua,1.07,,,2006.0,12-65,UNODC Estimate,HHS,Cannabis,1.06,1.07,NIC,,1.07,America
60,Americas,Central America,Nicaragua,2.2,,,2002.0,12-65,UNODC Estimate,HHS ,Cannabis,,,NIC,,2.2,America
61,Americas,Central America,Panama,0.77,1.52,0.14,2015.0,12-65,ARQ,HHS,Cannabis,,,PAN,,0.77,America
62,Americas,Central America,Panama,3.55,,,2003.0,12-65,UNODC Estimate,HHS,Cannabis,3.4,3.7,PAN,,3.55,America
63,Americas,North America,Bermuda,10.9,,,2009.0,16-65,Government source,HHS,Cannabis,10.7,11.2,BMU,,10.9,America
64,Americas,North America,Canada,20.7,22.8,18.6,2019.0,15+,ARQ/Government source,HHS,Cannabis,19.4,22.0,CAN,,20.7,America
65,Americas,North America,Canada,14.8,18.7,11.1,2017.0,15+,ARQ,HHS,Cannabis,,,CAN,,14.8,America
66,Americas,North America,Canada,14.73,17.64,11.83,2015.0,15-64,ARQ,HHS,Cannabis,,,CAN,,14.73,America
67,Americas,North America,Canada,12.7,16.4,9.0,2013.0,15-64,ARQ,HHS,Cannabis,,,CAN,,12.7,America
68,Americas,North America,Canada,12.2,15.9,8.5,2012.0,15-64,ARQ,HHS,Cannabis,,,CAN,,12.2,America
69,Americas,North America,Canada,10.9,,,2011.0,15-64,ARQ,HHS,Cannabis,,,CAN,,10.9,America
70,Americas,North America,Canada,12.65,,,2010.0,15-64,ARQ ,HHS ,Cannabis,,,CAN,,12.65,America
71,Americas,North America,Mexico,2.1,3.5,0.9,2016.0,12-65,ARQ/Government,HHS,Cannabis,1.9,2.3,MEX,,2.1,America
72,Americas,North America,Mexico,1.2,2.2,0.3,2011.0,12-65,Government Source,HHS,Cannabis,0.96,1.46,MEX,,1.2,America
73,Americas,North America,Mexico,1.0,,,2008.0,12-65,Government source,HHS,Cannabis,,,MEX,,1.0,America
74,Americas,North America,United States of America,21.9,23.8,20.1,2020.0,15-64,ARQ,HHS,Cannabis,,,USA,,21.9,America
75,Americas,North America,United States of America,19.4,22.2,16.8,2018.0,15-64,ARQ,HHS,Cannabis,,,USA,,19.4,America
76,Americas,North America,United States of America,18.4,21.4,15.5,2017.0,15-64,ARQ,HHS,Cannabis,,,USA,,18.4,America
77,Americas,North America,United States of America,17.0,19.9,14.1,2016.0,15-64,ARQ,HHS,Cannabis,,,USA,,17.0,America
78,Americas,North America,United States of America,16.5,19.4,13.6,2015.0,15-64,ARQ,HHS,Cannabis,,,USA,,16.5,America
79,Americas,North America,United States of America,16.2,19.9,12.7,2014.0,15-64,ARQ,HHS,Cannabis,,,USA,,16.2,America
80,Americas,North America,United States of America,15.4,18.7,12.2,2013.0,15-64,ARQ,HHS,Cannabis,,,USA,,15.4,America
81,Americas,North America,United States of America,14.8,,,2012.0,15-64,ARQ,HHS,Cannabis,,,USA,,14.8,America
82,Americas,North America,United States of America,14.0,,,2011.0,15-64,ARQ,HHS,Cannabis,,,USA,,14.0,America
83,Americas,North America,United States of America,14.0,,,2010.0,15-64,ARQ,HHS ,Cannabis,,,USA,,14.0,America
84,Americas,South America,Argentina,8.13,11.1,5.46,2017.0,15-64,ARQ,HHS,Cannabis,,,ARG,,8.13,America
85,Americas,South America,Argentina,3.2,4.7,1.7,2011.0,15-64,ARQ,HHS,Cannabis,,,ARG,,3.2,America
86,Americas,South America,Argentina,3.7,,,2008.0,15-64,ARQ,HHS ,Cannabis,,,ARG,,3.7,America
87,Americas,South America,Bolivia (Plurinational State of),2.19,3.29,1.24,2018.0,15-64,ARQ,HHS,Cannabis,,,BOL,,2.19,America
88,Americas,South America,Bolivia (Plurinational State of),1.42,2.11,0.86,2014.0,12-65,ARQ/UNODC Estimate,HHS,Cannabis,1.27,1.57,BOL,,1.42,America
89,Americas,South America,Bolivia (Plurinational State of),1.27,1.86,0.81,2013.0,12-65,ARQ,HHS,Cannabis,,,BOL,,1.27,America
90,Americas,South America,Bolivia (Plurinational State of),4.5,8.9,1.1,2007.0,12-65,ARQ,HHS,Cannabis,,,BOL,,4.5,America
91,Americas,South America,Brazil,2.81,5.1,0.66,2012.0,15-64,Government source,HHS,Cannabis,,,BRA,,2.81,America
92,Americas,South America,Brazil,2.6,,,2005.0,12-65,Government source ,HHS,Cannabis,,,BRA,,2.6,America
93,Americas,South America,Chile,12.05,17.05,7.17,2020.0,15-64,ARQ,HHS,Cannabis,,,CHL,,12.05,America
94,Americas,South America,Chile,13.33,18.98,7.76,2018.0,15-64,ARQ,HHS,Cannabis,,,CHL,,13.33,America
95,Americas,South America,Chile,15.1,19.11,11.07,2016.0,15-64,ARQ,HHS,Cannabis,,,CHL,,15.1,America
96,Americas,South America,Chile,11.83,15.37,8.38,2014.0,15-64,ARQ,HHS,Cannabis,,,CHL,,11.83,America
97,Americas,South America,Chile,7.47,10.52,4.52,2012.0,15-64,ARQ,HHS,Cannabis,,,CHL,,7.47,America
98,Americas,South America,Chile,4.88,,,2010.0,15-64,ARQ,,Cannabis,,,CHL,,4.88,America
99,Americas,South America,Chile,6.7,,,2008.0,15-64,ARQ ,HHS ,Cannabis,,,CHL,,6.7,America
100,Americas,South America,Colombia,2.68,4.21,1.26,2019.0,12-65,Government source,HHS,Cannabis,2.46,2.9,COL,,2.68,America
101,Americas,South America,Colombia,3.27,5.36,1.3,2013.0,12-65,ARQ,HHS,Cannabis,2.94,3.6,COL,,3.27,America
102,Americas,South America,Colombia,2.27,3.79,0.93,2008.0,12-65,ARQ,,Cannabis,1.93,2.61,COL,,2.27,America
103,Americas,South America,Colombia,1.9,,,2003.0,18-65 ,ARQ ,,Cannabis,,,COL,,1.9,America
104,Americas,South America,Ecuador,0.67,0.84,0.53,2013.0,12-65,ARQ,HHS,Cannabis,,,ECU,,0.67,America
105,Americas,South America,Ecuador,0.7,,,2007.0,12-65,ARQ,HHS,Cannabis,,,ECU,,0.7,America
106,Americas,South America,Guyana,4.6,,,2016.0,12-65,Government source,HHS,Cannabis,,,GUY,,4.6,
107,Americas,South America,Guyana,4.04,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,1.56,6.53,GUY,,4.04,
108,Americas,South America,Guyana,3.5,,,2008.0,15-64,UNODC Estimate,,Cannabis,0.97,5.95,GUY,,3.5,
109,Americas,South America,Guyana,2.6,,,2002.0,,UNODC Estimate ,,Cannabis,,,GUY,,2.6,
110,Americas,South America,Paraguay,1.6,,,2005.0,12-65,UNODC Estimate,,Cannabis,,,PRY,,1.6,America
111,Americas,South America,Peru,1.62,,,2017.0,15-64,Government source/UNODC Estimate,SS,Cannabis,1.24,2.01,PER,,1.62,America
112,Americas,South America,Peru,1.03,1.98,0.22,2010.0,12-65,ARQ,HHS,Cannabis,,,PER,,1.03,America
113,Americas,South America,Peru,0.7,,,2006.0,15-64,Government source,HHS,Cannabis,,,PER,,0.7,America
114,Americas,South America,Suriname,3.4,6.6,0.4,2013.0,12-65,ARQ,HHS,Cannabis,,,SUR,,3.4,America
115,Americas,South America,Suriname,4.25,,,2007.0,12-65,Government source,HHS,Cannabis,3.8,4.7,SUR,,4.25,America
116,Americas,South America,Suriname,2.0,,,2002.0,15-64,UNODC Estimate ,,Cannabis,,,SUR,,2.0,America
117,Americas,South America,Uruguay,14.6,17.8,11.5,2018.0,15-65,ARQ,HHS,Cannabis,,,URY,,14.6,America
118,Americas,South America,Uruguay,9.3,12.5,6.4,2014.0,15-65,ARQ,HHS,Cannabis,,,URY,,9.3,America
119,Americas,South America,Uruguay,8.3,11.5,5.4,2011.0,15-64,ARQ,HHS,Cannabis,,,URY,,8.3,America
120,Americas,South America,Uruguay,5.6,,,2006.0,15-64,ARQ ,HHS ,Cannabis,,,URY,,5.6,America
121,Americas,South America,Venezuela (Bolivarian Republic of),1.56,,,2011.0,12-65,Government source,HHS,Cannabis,,,VEN,,1.56,America
122,Americas,South America,Venezuela (Bolivarian Republic of),0.85,,,2005.0,15-64,Government source ,HHS ,Cannabis,,,VEN,,0.85,America
123,Asia,Central Asia and Transcaucasia,Armenia,3.5,,,2003.0,15-64,UNODC Estimate,,Cannabis,,,ARM,,3.5,Asia
124,Asia,Central Asia and Transcaucasia,Azerbaijan,3.5,,,2004.0,15-65,UNODC Estimate,,Cannabis,,,AZE,,3.5,Asia
125,Asia,Central Asia and Transcaucasia,Georgia,3.4,6.6,0.5,2015.0,18-64,ARQ,HHS,Cannabis,,,GEO,,3.4,Asia
126,Asia,Central Asia and Transcaucasia,Georgia,2.7,,,2009.0,15-64,Government source/ NGO/Academic research,SS,Cannabis,1.2,4.3,GEO,,2.7,Asia
127,Asia,Central Asia and Transcaucasia,Georgia,1.1,,,2005.0,15-64,ARQ ,SS ,Cannabis,,,GEO,,1.1,Asia
128,Asia,Central Asia and Transcaucasia,Kazakhstan,2.4,,,2012.0,15-64,ARQ,SS,Cannabis,0.6,4.3,KAZ,,2.4,Asia
129,Asia,Central Asia and Transcaucasia,Kazakhstan,4.2,,,2003.0,15-64,INCSR,,Cannabis,,,KAZ,,4.2,Asia
130,Asia,Central Asia and Transcaucasia,Uzbekistan,4.2,,,2003.0,15-64,UNODC Estimate,,Cannabis,,,UZB,,4.2,Asia
131,Asia,East and South-East Asia,Cambodia,3.5,,,2003.0,15-64,UNODC Estimate,,Cannabis,,,KHM,,3.5,Asia
132,Asia,East and South-East Asia,"China, Taiwan Province of China",0.3,,,2005.0,12-64,AMCEWG,,Cannabis,,,TWN,,0.3,Asia
133,Asia,East and South-East Asia,Indonesia,1.44,,,2019.0,15-64,ARQ/UNODC Estimate,HHS,Cannabis,1.41,1.46,IDN,,1.44,Asia
134,Asia,East and South-East Asia,Indonesia,0.91,,,2015.0,10-59,Government source,HHS,Cannabis,,,IDN,,0.91,Asia
135,Asia,East and South-East Asia,Indonesia,0.18,0.33,0.04,2015.0,10-60,ARQ,HHS,Cannabis,,,IDN,,0.18,Asia
136,Asia,East and South-East Asia,Indonesia,0.5,,,2010.0,10-60,ARQ,HHS,Cannabis,,,IDN,,0.5,Asia
137,Asia,East and South-East Asia,Indonesia,0.44,,,2008.0,10-59,ARQ ,HHS ,Cannabis,,,IDN,,0.44,Asia
138,Asia,East and South-East Asia,Japan,0.1,,,2019.0,15-64,ARQ,HHS,Cannabis,,,JPN,,0.1,Asia
139,Asia,East and South-East Asia,Japan,0.03,,,2017.0,15-64,ARQ,HHS,Cannabis,,,JPN,,0.03,Asia
140,Asia,East and South-East Asia,Japan,0.3,,,2011.0,15-64,UNODC Estimate,HHS,Cannabis,,,JPN,,0.3,Asia
141,Asia,East and South-East Asia,Lao People's Democratic Republic,0.88,,,2008.0,15-64,UNODC report,SS,Cannabis,0.69,1.07,LAO,,0.88,Asia
142,Asia,East and South-East Asia,Malaysia,1.6,,,2003.0,15-64,UNODC Estimate,,Cannabis,,,MYS,,1.6,Asia
143,Asia,East and South-East Asia,Myanmar,0.94,,,2005.0,15-64,UNODC Estimate,,Cannabis,,,MMR,,0.94,Asia
144,Asia,East and South-East Asia,Philippines,1.64,,,2016.0,10-69,ARQ,HHS,Cannabis,,,PHL,,1.64,Asia
145,Asia,East and South-East Asia,Philippines,0.61,,,2012.0,10-69,ARQ,HHS,Cannabis,,,PHL,,0.61,Asia
146,Asia,East and South-East Asia,Philippines,0.74,,,2008.0,10-64,ARQ,HHS,Cannabis,,,PHL,,0.74,Asia
147,Asia,East and South-East Asia,Republic of Korea,0.29,,,2004.0,15-64,ARQ,HHS,Cannabis,0.07,0.55,PRK,,0.29,Asia
148,Asia,East and South-East Asia,Thailand,1.33,1.81,0.86,2019.0,12-65,Government source,HHS,Cannabis,,,THA,,1.33,Asia
149,Asia,East and South-East Asia,Thailand,1.2,,,2007.0,12-65,ARQ,HHS,Cannabis,,,THA,,1.2,Asia
150,Asia,Near and Middle East/South-West Asia,Afghanistan,3.8,6.1,1.5,2015.0,15+,INL,HHS,Cannabis,,,AFG,,3.8,Asia
151,Asia,Near and Middle East/South-West Asia,Afghanistan,4.28,8.1,0.2,2009.0,15-64,UNODC/ Govt. Source,HHS,Cannabis,3.37,5.18,AFG,,4.28,Asia
152,Asia,Near and Middle East/South-West Asia,Afghanistan,3.59,,,2005.0,15-64,UNODC Study (ICMP) ,,Cannabis,,,AFG,,3.59,Asia
153,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.58,,,2015.0,15-64,Government source/UNODC Estimate,HHS,Cannabis,,,IRN,,0.58,Asia
154,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.61,,,2013.0,18+,Academic/UNODC Estimate,NSUM,Cannabis,0.54,0.7,IRN,,0.61,Asia
155,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.17,,,2011.0,15-64,Government source,,Cannabis,,,IRN,,0.17,Asia
156,Asia,Near and Middle East/South-West Asia,Israel,14.0,15.3,12.3,2020.0,18-86,ARQ,HHS,Cannabis,,,ISR,,14.0,Asia
157,Asia,Near and Middle East/South-West Asia,Israel,27.0,32.2,21.8,2016.0,18-65,ARQ,HHS,Cannabis,,,ISR,,27.0,Asia
158,Asia,Near and Middle East/South-West Asia,Israel,8.88,12.3,5.5,2009.0,18-40,ARQ,HHS,Cannabis,8.9,8.9,ISR,,8.88,Asia
159,Asia,Near and Middle East/South-West Asia,Israel,8.5,,,2005.0,18-40,ARQ ,,Cannabis,,,ISR,,8.5,Asia
160,Asia,Near and Middle East/South-West Asia,Kuwait,3.1,,,2005.0,15-64,UNODC Estimate,,Cannabis,,,KWT,,3.1,Asia
161,Asia,Near and Middle East/South-West Asia,Lebanon,2.0,,,2009.0,15-64,Government source/MEDSPAD,SS,Cannabis,0.5,3.5,LBN,,2.0,Asia
162,Asia,Near and Middle East/South-West Asia,Lebanon,6.4,,,2001.0,15-64,ARQ ,,Cannabis,,,LBN,,6.4,Asia
163,Asia,Near and Middle East/South-West Asia,Pakistan,3.6,6.7,0.2,2012.0,15-64,Government/UNODC,,Cannabis,3.1,4.0,PAK,,3.6,Asia
164,Asia,Near and Middle East/South-West Asia,Pakistan,3.9,,,2000.0,15-64,INCSR ,,Cannabis,,,PAK,,3.9,Asia
165,Asia,Near and Middle East/South-West Asia,Saudi Arabia,0.3,,,2006.0,15-64,Government source/ NGO/Academic research,R,Cannabis,,,SAU,,0.3,Asia
166,Asia,Near and Middle East/South-West Asia,United Arab Emirates,5.35,,,2006.0,15-64,UNODC Estimate,,Cannabis,,,ARE,,5.35,Asia
167,Asia,South Asia,Bangladesh,3.3,,,2004.0,15-54,Academic research,HHS,Cannabis,,,BGD,,3.3,Asia
168,Asia,South Asia,Bhutan,4.2,,,2009.0,15-64,UNODC Estimate,,Cannabis,1.8,6.5,BTN,,4.2,Asia
169,Asia,South Asia,India,2.83,5.05,0.6,2018.0,10-75,Government source,HHS,Cannabis,,,IND,,2.83,Asia
170,Asia,South Asia,Maldives,2.55,,,2012.0,15-64,Government source,,Cannabis,,,MDV,,2.55,Asia
171,Asia,South Asia,Nepal,0.71,,,2019.0,15-50,Government source/UNODC Estimate,HHS,Cannabis,,,NPL,,0.71,Asia
172,Asia,South Asia,Sri Lanka,1.9,,,2018.0,14+,Government source,HHS,Cannabis,,,LKA,,1.9,Asia
173,Asia,South Asia,Sri Lanka,1.42,,,2016.0,15-64,Government source,I,Cannabis,1.26,1.58,LKA,,1.42,Asia
174,Asia,South Asia,Sri Lanka,1.31,,,2012.0,15-64,ARQ,HHS,Cannabis,,,LKA,,1.31,Asia
175,Asia,South Asia,Sri Lanka,1.43,,,2010.0,15-64,UNODC Estimate,,Cannabis,1.43,1.43,LKA,,1.43,Asia
176,Europe,Eastern Europe,Belarus,1.07,,,2007.0,15-64,ESPAD,SS,Cannabis,0.9,1.3,BLR,,1.07,Europe
177,Europe,Eastern Europe,Republic of Moldova,0.7,,,2010.0,15-64,Government source,HHS,Cannabis,,,MDA,,0.7,Europe
178,Europe,Eastern Europe,Republic of Moldova,0.9,,,2008.0,15-64,Government source ,HHS ,Cannabis,,,MDA,,0.9,Europe
179,Europe,Eastern Europe,Russian Federation,3.49,,,2007.0,15-64,ESPAD/UNODC Estimate,SS,Cannabis,3.46,3.51,RUS,,3.49,Europe
180,Europe,Eastern Europe,Ukraine,2.13,,,2015.0,15-64,ESPAD/UNODC Estimate,SS,Cannabis,1.29,2.98,UKR,,2.13,Europe
181,Europe,Eastern Europe,Ukraine,2.9,,,2011.0,15-64,UNODC Estimate,SS,Cannabis,1.2,4.6,UKR,,2.9,Europe
182,Europe,Eastern Europe,Ukraine,2.5,,,2007.0,15-64,ESPAD ,SS ,Cannabis,2.4,2.59,UKR,,2.5,Europe
183,Europe,South-Eastern Europe,Albania,5.6,,,2014.0,15-64,,HHS,Cannabis,,,ALB,,5.6,Europe
184,Europe,South-Eastern Europe,Albania,5.6,10.2,1.0,2014.0,15-64,ARQ,HHS,Cannabis,,,ALB,,5.6,Europe
185,Europe,South-Eastern Europe,Albania,1.8,,,2006.0,15-64,Government source,SS,Cannabis,,,ALB,,1.8,Europe
186,Europe,South-Eastern Europe,Bosnia and Herzegovina,1.6,,,2011.0,15-64,ESPAD,SS,Cannabis,0.32,2.89,BIH,,1.6,Africa
187,Europe,South-Eastern Europe,Bosnia and Herzegovina,2.8,,,2007.0,15-64,ESPAD ,SS ,Cannabis,2.75,4.63,BIH,,2.8,Africa
188,Europe,South-Eastern Europe,Bulgaria,2.4,2.6,2.2,2020.0,15-64,ARQ,HHS,Cannabis,,,BGR,,2.4,Europe
189,Europe,South-Eastern Europe,Bulgaria,4.2,5.9,2.3,2016.0,15-64,ARQ,HHS,Cannabis,,,BGR,,4.2,Europe
190,Europe,South-Eastern Europe,Bulgaria,3.5,5.1,1.9,2012.0,15-64,ARQ,HHS,Cannabis,,,BGR,,3.5,Europe
191,Europe,South-Eastern Europe,Bulgaria,2.5,,,2008.0,15-64,ARQ,HHS,Cannabis,,,BGR,,2.5,Europe
192,Europe,South-Eastern Europe,Bulgaria,2.2,,,2007.0,15-64,ARQ ,HHS ,Cannabis,,,BGR,,2.2,Europe
193,Europe,South-Eastern Europe,Croatia,10.2,14.2,6.2,2019.0,15-64,ARQ,HHS,Cannabis,,,HRV,,10.2,Europe
194,Europe,South-Eastern Europe,Croatia,7.9,11.5,4.3,2015.0,15-64,ARQ,HHS,Cannabis,,,HRV,,7.9,Europe
195,Europe,South-Eastern Europe,Croatia,5.0,,,2012.0,15-64,EMCDDA,HHS,Cannabis,,,HRV,,5.0,Europe
196,Europe,South-Eastern Europe,Croatia,5.18,,,2007.0,15-64,ESPAD ,SS ,Cannabis,5.1,5.3,HRV,,5.18,Europe
197,Europe,South-Eastern Europe,Kosovo under UNSCR 1244,1.3,,,2019.0,15-64,ESPAD/UNODC Estimate,SS,Cannabis,,,XKX,,1.3,
198,Europe,South-Eastern Europe,Montenegro,4.6,4.9,4.3,2017.0,15-64,ARQ,HHS,Cannabis,,,MNE,,4.6,Europe
199,Europe,South-Eastern Europe,Montenegro,1.82,,,2015.0,15-64,ESPAD/UNODC Estimate,SS,Cannabis,1.1,2.54,MNE,,1.82,Europe
200,Europe,South-Eastern Europe,Montenegro,1.9,,,2011.0,15-64,ESPAD,SS,Cannabis,0.43,3.3,MNE,,1.9,Europe
201,Europe,South-Eastern Europe,Montenegro,0.23,,,2008.0,15-64,ESPAD ,SS ,Cannabis,,,MNE,,0.23,Europe
202,Europe,South-Eastern Europe,North Macedonia,6.6,8.3,4.0,2017.0,15-64,ARQ,HHS,Cannabis,,,MKD,,6.6,Europe
