,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3
24,Africa,West and Central Africa,Nigeria,14.3,,,2008,15-64,ARQ,HHS,Cannabis,11.76,16.84,NGA
25,Africa,West and Central Africa,Sierra Leone,6.48,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,SLE
26,Africa,West and Central Africa,Sierra Leone,5.42,,,2010,15-64,UNODC Estimate,,Cannabis,3.52,7.32,SLE
27,Africa,West and Central Africa,Togo,1,,,2009,15-64,UNODC Estimate,SS,Cannabis,0.2,3.1,TGO
28,Africa,West and Central Africa,Togo,2.73,,,2006,15-64,UNODC Estimate ,SS ,Cannabis,,,TGO
29,Americas,Caribbean,Bahamas,3.1,5,1,2017,12-65,ARQ,HHS,Cannabis,,,BHS
30,Americas,Caribbean,Bahamas,5.54,,,2008,15-64,ARQ,SS,Cannabis,3.2,7.89,BHS
31,Americas,Caribbean,Bahamas,4.7,,,2003,15-64,UNODC Estimate ,SS ,Cannabis,,,BHS
32,Americas,Caribbean,Barbados,8.3,,,2006,15-64,CICAD,HHS,Cannabis,,,BRB
33,Americas,Caribbean,Dominican Republic,0.68,1.4,0.22,2010,12-65,CICAD,HHS,Cannabis,,,DOM
34,Americas,Caribbean,Dominican Republic,0.31,,,2008,15-64,ARQ,SS,Cannabis,0.25,1.41,DOM
35,Americas,Caribbean,Haiti,2.5,2.3,2.7,2018,15-64,ARQ,HHS,Cannabis,,,HTI
36,Americas,Caribbean,Haiti,1.51,,,2010,15-64,UNODC Estimate,SS,Cannabis,0.26,2.75,HTI
37,Americas,Caribbean,Haiti,1.41,,,2005,15-64,UNODC Estimate,SS,Cannabis,0.43,2.15,HTI
38,Americas,Caribbean,Jamaica,18,28.5,7.8,2016,12-65,Government source,HHS,Cannabis,,,JAM
39,Americas,Caribbean,Jamaica,7.21,,,2010,15-64,UNODC Estimate,SS,Cannabis,4.25,10.17,JAM
40,Americas,Caribbean,Jamaica,9.86,,,2006,15-64,Government source,SS,Cannabis,7.52,12.2,JAM
41,Americas,Caribbean,Jamaica,10.7,,,2001,12-55,UNODC Estimate ,,Cannabis,,,JAM
42,Americas,Caribbean,Puerto Rico,4.88,,,2005,15-64,Government source,SS,Cannabis,3.1,6.65,PRI
43,Americas,Caribbean,Saint Lucia,8.87,,,2010,15-64,UNODC Estimate,SS,Cannabis,5.64,12.1,LCA
44,Americas,Caribbean,Saint Lucia,9,,,2006,15-64,UNODC Estimate,SS,Cannabis,,,LCA
45,Americas,Caribbean,Trinidad and Tobago,4.788,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,1.396,8.179,TTO
46,Americas,Caribbean,Trinidad and Tobago,4.03,,,2010,15-64,UNODC Estimate,SS,Cannabis,1.55,6.52,TTO
47,Americas,Caribbean,Trinidad and Tobago,4.66,,,2006,15-64,Government source,SS,Cannabis,2.91,6.42,TTO
48,Americas,Caribbean,Trinidad and Tobago,3.7,,,2002,,UNODC Estimate ,,Cannabis,,,TTO
49,Americas,Central America,Belize,8.45,,,2005,12-65,CICAD,HHS,Cannabis,,,BLZ
50,Americas,Central America,Costa Rica,5.18,7.84,2.49,2015,15-64,ARQ,HHS,Cannabis,,,CRI
51,Americas,Central America,Costa Rica,2.76,4.4,1.07,2010,15-64,ARQ,HHS,Cannabis,,,CRI
52,Americas,Central America,Costa Rica,1.02,,,2006,12-70,ARQ ,HHS ,Cannabis,,,CRI
53,Americas,Central America,El Salvador,2.03,3.93,0.62,2014,12-65,Government source,HHS,Cannabis,1.12,3.67,SLV
54,Americas,Central America,El Salvador,0.39,,,2005,12-65,CICAD,HHS,Cannabis,0.35,0.43,SLV
55,Americas,Central America,Guatemala,3.48,,,2014,15-64,Government source/UNODC Estimate,SS,Cannabis,0.438,6.521,GTM
56,Americas,Central America,Guatemala,4.8,,,2005,12-65,UNODC Estimate,"HHS, SS",Cannabis,,,GTM
57,Americas,Central America,Honduras,0.83,,,2005,12-65,UNODC Estimate,SS,Cannabis,0.41,1.59,HND
58,Americas,Central America,Honduras,1.5,,,2004,15-64,UNODC Estimate ,SS ,Cannabis,,,HND
59,Americas,Central America,Nicaragua,1.07,,,2006,12-65,UNODC Estimate,HHS,Cannabis,1.06,1.07,NIC
60,Americas,Central America,Nicaragua,2.2,,,2002,12-65,UNODC Estimate,HHS ,Cannabis,,,NIC
61,Americas,Central America,Panama,0.77,1.52,0.14,2015,12-65,ARQ,HHS,Cannabis,,,PAN
62,Americas,Central America,Panama,3.55,,,2003,12-65,UNODC Estimate,HHS,Cannabis,3.4,3.7,PAN
63,Americas,North America,Bermuda,10.9,,,2009,16-65,Government source,HHS,Cannabis,10.7,11.2,BMU
64,Americas,North America,Canada,20.7,22.8,18.6,2019,15+,ARQ/Government source,HHS,Cannabis,19.4,22,CAN
65,Americas,North America,Canada,14.8,18.7,11.1,2017,15+,ARQ,HHS,Cannabis,,,CAN
66,Americas,North America,Canada,14.73,17.64,11.83,2015,15-64,ARQ,HHS,Cannabis,,,CAN
67,Americas,North America,Canada,12.7,16.4,9,2013,15-64,ARQ,HHS,Cannabis,,,CAN
68,Americas,North America,Canada,12.2,15.9,8.5,2012,15-64,ARQ,HHS,Cannabis,,,CAN
69,Americas,North America,Canada,10.9,,,2011,15-64,ARQ,HHS,Cannabis,,,CAN
70,Americas,North America,Canada,12.65,,,2010,15-64,ARQ ,HHS ,Cannabis,,,CAN
71,Americas,North America,Mexico,2.1,3.5,0.9,2016,12-65,ARQ/Government,HHS,Cannabis,1.9,2.3,MEX
72,Americas,North America,Mexico,1.2,2.2,0.3,2011,12-65,Government Source,HHS,Cannabis,0.96,1.46,MEX
73,Americas,North America,Mexico,1,,,2008,12-65,Government source,HHS,Cannabis,,,MEX
74,Americas,North America,United States of America,21.9,23.8,20.1,2020,15-64,ARQ,HHS,Cannabis,,,USA
75,Americas,North America,United States of America,19.4,22.2,16.8,2018,15-64,ARQ,HHS,Cannabis,,,USA
76,Americas,North America,United States of America,18.4,21.4,15.5,2017,15-64,ARQ,HHS,Cannabis,,,USA
77,Americas,North America,United States of America,17,19.9,14.1,2016,15-64,ARQ,HHS,Cannabis,,,USA
78,Americas,North America,United States of America,16.5,19.4,13.6,2015,15-64,ARQ,HHS,Cannabis,,,USA
79,Americas,North America,United States of America,16.2,19.9,12.7,2014,15-64,ARQ,HHS,Cannabis,,,USA
80,Americas,North America,United States of America,15.4,18.7,12.2,2013,15-64,ARQ,HHS,Cannabis,,,USA
81,Americas,North America,United States of America,14.8,,,2012,15-64,ARQ,HHS,Cannabis,,,USA
82,Americas,North America,United States of America,14,,,2011,15-64,ARQ,HHS,Cannabis,,,USA
83,Americas,North America,United States of America,14,,,2010,15-64,ARQ,HHS ,Cannabis,,,USA
84,Americas,South America,Argentina,8.13,11.1,5.46,2017,15-64,ARQ,HHS,Cannabis,,,ARG
85,Americas,South America,Argentina,3.2,4.7,1.7,2011,15-64,ARQ,HHS,Cannabis,,,ARG
86,Americas,South America,Argentina,3.7,,,2008,15-64,ARQ,HHS ,Cannabis,,,ARG
87,Americas,South America,Bolivia (Plurinational State of),2.19,3.29,1.24,2018,15-64,ARQ,HHS,Cannabis,,,BOL
88,Americas,South America,Bolivia (Plurinational State of),1.42,2.1100000000000003,0.8600000000000001,2014,12-65,ARQ/UNODC Estimate,HHS,Cannabis,1.27,1.57,BOL
89,Americas,South America,Bolivia (Plurinational State of),1.27,1.86,0.81,2013,12-65,ARQ,HHS,Cannabis,,,BOL
90,Americas,South America,Bolivia (Plurinational State of),4.5,8.9,1.1,2007,12-65,ARQ,HHS,Cannabis,,,BOL
91,Americas,South America,Brazil,2.81,5.1,0.66,2012,15-64,Government source,HHS,Cannabis,,,BRA
92,Americas,South America,Brazil,2.6,,,2005,12-65,Government source ,HHS,Cannabis,,,BRA
93,Americas,South America,Chile,12.05,17.05,7.17,2020,15-64,ARQ,HHS,Cannabis,,,CHL
94,Americas,South America,Chile,13.33,18.98,7.76,2018,15-64,ARQ,HHS,Cannabis,,,CHL
95,Americas,South America,Chile,15.1,19.11,11.07,2016,15-64,ARQ,HHS,Cannabis,,,CHL
96,Americas,South America,Chile,11.83,15.37,8.38,2014,15-64,ARQ,HHS,Cannabis,,,CHL
97,Americas,South America,Chile,7.47,10.52,4.52,2012,15-64,ARQ,HHS,Cannabis,,,CHL
98,Americas,South America,Chile,4.88,,,2010,15-64,ARQ,,Cannabis,,,CHL
99,Americas,South America,Chile,6.7,,,2008,15-64,ARQ ,HHS ,Cannabis,,,CHL
100,Americas,South America,Colombia,2.68,4.21,1.26,2019,12-65,Government source,HHS,Cannabis,2.46,2.9,COL
101,Americas,South America,Colombia,3.27,5.36,1.3,2013,12-65,ARQ,HHS,Cannabis,2.94,3.6,COL
102,Americas,South America,Colombia,2.27,3.79,0.93,2008,12-65,ARQ,,Cannabis,1.93,2.61,COL
103,Americas,South America,Colombia,1.9,,,2003,18-65 ,ARQ ,,Cannabis,,,COL
104,Americas,South America,Ecuador,0.67,0.84,0.53,2013,12-65,ARQ,HHS,Cannabis,,,ECU
105,Americas,South America,Ecuador,0.7,,,2007,12-65,ARQ,HHS,Cannabis,,,ECU
106,Americas,South America,Guyana,4.6,,,2016,12-65,Government source,HHS,Cannabis,,,GUY
107,Americas,South America,Guyana,4.04,,,2010,15-64,UNODC Estimate,SS,Cannabis,1.56,6.53,GUY
108,Americas,South America,Guyana,3.5,,,2008,15-64,UNODC Estimate,,Cannabis,0.97,5.95,GUY
109,Americas,South America,Guyana,2.6,,,2002,,UNODC Estimate ,,Cannabis,,,GUY
110,Americas,South America,Paraguay,1.6,,,2005,12-65,UNODC Estimate,,Cannabis,,,PRY
111,Americas,South America,Peru,1.624,,,2017,15-64,Government source/UNODC Estimate,SS,Cannabis,1.241,2.006,PER
112,Americas,South America,Peru,1.03,1.98,0.22,2010,12-65,ARQ,HHS,Cannabis,,,PER
113,Americas,South America,Peru,0.7,,,2006,15-64,Government source,HHS,Cannabis,,,PER
114,Americas,South America,Suriname,3.4,6.6,0.4,2013,12-65,ARQ,HHS,Cannabis,,,SUR
115,Americas,South America,Suriname,4.25,,,2007,12-65,Government source,HHS,Cannabis,3.8,4.7,SUR
116,Americas,South America,Suriname,2,,,2002,15-64,UNODC Estimate ,,Cannabis,,,SUR
117,Americas,South America,Uruguay,14.6,17.8,11.5,2018,15-65,ARQ,HHS,Cannabis,,,URY
118,Americas,South America,Uruguay,9.3,12.5,6.4,2014,15-65,ARQ,HHS,Cannabis,,,URY
119,Americas,South America,Uruguay,8.3,11.5,5.4,2011,15-64,ARQ,HHS,Cannabis,,,URY
120,Americas,South America,Uruguay,5.6,,,2006,15-64,ARQ ,HHS ,Cannabis,,,URY
121,Americas,South America,Venezuela (Bolivarian Republic of),1.56,,,2011,12-65,Government source,HHS,Cannabis,,,VEN
122,Americas,South America,Venezuela (Bolivarian Republic of),0.85,,,2005,15-64,Government source ,HHS ,Cannabis,,,VEN
123,Asia,Central Asia and Transcaucasia,Armenia,3.5,,,2003,15-64,UNODC Estimate,,Cannabis,,,ARM
124,Asia,Central Asia and Transcaucasia,Azerbaijan,3.5,,,2004,15-65,UNODC Estimate,,Cannabis,,,AZE
125,Asia,Central Asia and Transcaucasia,Georgia,3.4,6.6,0.5,2015,18-64,ARQ,HHS,Cannabis,,,GEO
126,Asia,Central Asia and Transcaucasia,Georgia,2.7,,,2009,15-64,Government source/ NGO/Academic research,SS,Cannabis,1.2,4.3,GEO
127,Asia,Central Asia and Transcaucasia,Georgia,1.1,,,2005,15-64,ARQ ,SS ,Cannabis,,,GEO
128,Asia,Central Asia and Transcaucasia,Kazakhstan,2.4,,,2012,15-64,ARQ,SS,Cannabis,0.6,4.3,KAZ
129,Asia,Central Asia and Transcaucasia,Kazakhstan,4.2,,,2003,15-64,INCSR,,Cannabis,,,KAZ
130,Asia,Central Asia and Transcaucasia,Uzbekistan,4.2,,,2003,15-64,UNODC Estimate,,Cannabis,,,UZB
131,Asia,East and South-East Asia,Cambodia,3.5,,,2003,15-64,UNODC Estimate,,Cannabis,,,KHM
132,Asia,East and South-East Asia,"China, Taiwan Province of China",0.3,,,2005,12-64,AMCEWG,,Cannabis,,,TWN
133,Asia,East and South-East Asia,Indonesia,1.44,,,2019,15-64,ARQ/UNODC Estimate,HHS,Cannabis,1.41,1.46,IDN
134,Asia,East and South-East Asia,Indonesia,0.91,,,2015,10-59,Government source,HHS,Cannabis,,,IDN
135,Asia,East and South-East Asia,Indonesia,0.18,0.33,0.04,2015,10-60,ARQ,HHS,Cannabis,,,IDN
136,Asia,East and South-East Asia,Indonesia,0.5,,,2010,10-60,ARQ,HHS,Cannabis,,,IDN
137,Asia,East and South-East Asia,Indonesia,0.44,,,2008,10-59,ARQ ,HHS ,Cannabis,,,IDN
138,Asia,East and South-East Asia,Japan,0.1,,,2019,15-64,ARQ,HHS,Cannabis,,,JPN
139,Asia,East and South-East Asia,Japan,0.03,,,2017,15-64,ARQ,HHS,Cannabis,,,JPN
140,Asia,East and South-East Asia,Japan,0.3,,,2011,15-64,UNODC Estimate,HHS,Cannabis,,,JPN
141,Asia,East and South-East Asia,Lao People's Democratic Republic,0.88,,,2008,15-64,UNODC report,SS,Cannabis,0.69,1.07,LAO
142,Asia,East and South-East Asia,Malaysia,1.6,,,2003,15-64,UNODC Estimate,,Cannabis,,,MYS
143,Asia,East and South-East Asia,Myanmar,0.94,,,2005,15-64,UNODC Estimate,,Cannabis,,,MMR
144,Asia,East and South-East Asia,Philippines,1.64,,,2016,10-69,ARQ,HHS,Cannabis,,,PHL
145,Asia,East and South-East Asia,Philippines,0.61,,,2012,10-69,ARQ,HHS,Cannabis,,,PHL
146,Asia,East and South-East Asia,Philippines,0.74,,,2008,10-64,ARQ,HHS,Cannabis,,,PHL
147,Asia,East and South-East Asia,Republic of Korea,0.29,,,2004,15-64,ARQ,HHS,Cannabis,0.07,0.55,PRK
148,Asia,East and South-East Asia,Thailand,1.33,1.81,0.861,2019,12-65,Government source,HHS,Cannabis,,,THA
149,Asia,East and South-East Asia,Thailand,1.2,,,2007,12-65,ARQ,HHS,Cannabis,,,THA
150,Asia,Near and Middle East/South-West Asia,Afghanistan,3.8,6.1,1.5,2015,15+,INL,HHS,Cannabis,,,AFG
151,Asia,Near and Middle East/South-West Asia,Afghanistan,4.28,8.1,0.2,2009,15-64,UNODC/ Govt. Source,HHS,Cannabis,3.37,5.18,AFG
152,Asia,Near and Middle East/South-West Asia,Afghanistan,3.59,,,2005,15-64,UNODC Study (ICMP) ,,Cannabis,,,AFG
153,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.58,,,2015,15-64,Government source/UNODC Estimate,HHS,Cannabis,,,IRN
154,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.61,,,2013,18+,Academic/UNODC Estimate,NSUM,Cannabis,0.54,0.7,IRN
155,Asia,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.17,,,2011,15-64,Government source,,Cannabis,,,IRN
156,Asia,Near and Middle East/South-West Asia,Israel,14,15.3,12.3,2020,18-86,ARQ,HHS,Cannabis,,,ISR
157,Asia,Near and Middle East/South-West Asia,Israel,27,32.2,21.8,2016,18-65,ARQ,HHS,Cannabis,,,ISR
158,Asia,Near and Middle East/South-West Asia,Israel,8.88,12.3,5.5,2009,18-40,ARQ,HHS,Cannabis,8.9,8.9,ISR
159,Asia,Near and Middle East/South-West Asia,Israel,8.5,,,2005,18-40,ARQ ,,Cannabis,,,ISR
160,Asia,Near and Middle East/South-West Asia,Kuwait,3.1,,,2005,15-64,UNODC Estimate,,Cannabis,,,KWT
161,Asia,Near and Middle East/South-West Asia,Lebanon,2,,,2009,15-64,Government source/MEDSPAD,SS,Cannabis,0.5,3.5,LBN
162,Asia,Near and Middle East/South-West Asia,Lebanon,6.4,,,2001,15-64,ARQ ,,Cannabis,,,LBN
163,Asia,Near and Middle East/South-West Asia,Pakistan,3.6,6.7,0.2,2012,15-64,Government/UNODC,,Cannabis,3.1,4,PAK
164,Asia,Near and Middle East/South-West Asia,Pakistan,3.9,,,2000,15-64,INCSR ,,Cannabis,,,PAK
165,Asia,Near and Middle East/South-West Asia,Saudi Arabia,0.3,,,2006,15-64,Government source/ NGO/Academic research,R,Cannabis,,,SAU
166,Asia,Near and Middle East/South-West Asia,United Arab Emirates,5.35,,,2006,15-64,UNODC Estimate,,Cannabis,,,ARE
167,Asia,South Asia,Bangladesh,3.3,,,2004,15-54,Academic research,HHS,Cannabis,,,BGD
168,Asia,South Asia,Bhutan,4.2,,,2009,15-64,UNODC Estimate,,Cannabis,1.8,6.5,BTN
169,Asia,South Asia,India,2.83,5.05,0.6,2018,10-75,Government source,HHS,Cannabis,,,IND
170,Asia,South Asia,Maldives,2.55,,,2012,15-64,Government source,,Cannabis,,,MDV
171,Asia,South Asia,Nepal,0.709,,,2019,15-50,Government source/UNODC Estimate,HHS,Cannabis,,,NPL
172,Asia,South Asia,Sri Lanka,1.9,,,2018,14+,Government source,HHS,Cannabis,,,LKA
173,Asia,South Asia,Sri Lanka,1.42,,,2016,15-64,Government source,I,Cannabis,1.26,1.58,LKA
174,Asia,South Asia,Sri Lanka,1.31,,,2012,15-64,ARQ,HHS,Cannabis,,,LKA
175,Asia,South Asia,Sri Lanka,1.43,,,2010,15-64,UNODC Estimate,,Cannabis,1.43,1.43,LKA
176,Europe,Eastern Europe,Belarus,1.07,,,2007,15-64,ESPAD,SS,Cannabis,0.9,1.3,BLR
177,Europe,Eastern Europe,Republic of Moldova,0.7,,,2010,15-64,Government source,HHS,Cannabis,,,MDA
178,Europe,Eastern Europe,Republic of Moldova,0.9,,,2008,15-64,Government source ,HHS ,Cannabis,,,MDA
179,Europe,Eastern Europe,Russian Federation,3.49,,,2007,15-64,ESPAD/UNODC Estimate,SS,Cannabis,3.46,3.51,RUS
180,Europe,Eastern Europe,Ukraine,2.13,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cannabis,1.29,2.98,UKR
181,Europe,Eastern Europe,Ukraine,2.9,,,2011,15-64,UNODC Estimate,SS,Cannabis,1.2,4.6,UKR
182,Europe,Eastern Europe,Ukraine,2.5,,,2007,15-64,ESPAD ,SS ,Cannabis,2.4,2.59,UKR
183,Europe,South-Eastern Europe,Albania,5.6,,,2014,15-64,,HHS,Cannabis,,,ALB
184,Europe,South-Eastern Europe,Albania,5.6,10.2,1,2014,15-64,ARQ,HHS,Cannabis,,,ALB
185,Europe,South-Eastern Europe,Albania,1.8,,,2006,15-64,Government source,SS,Cannabis,,,ALB
186,Europe,South-Eastern Europe,Bosnia and Herzegovina,1.6,,,2011,15-64,ESPAD,SS,Cannabis,0.32,2.89,BIH
187,Europe,South-Eastern Europe,Bosnia and Herzegovina,2.8,,,2007,15-64,ESPAD ,SS ,Cannabis,2.75,4.63,BIH
188,Europe,South-Eastern Europe,Bulgaria,2.4,2.6,2.2,2020,15-64,ARQ,HHS,Cannabis,,,BGR
189,Europe,South-Eastern Europe,Bulgaria,4.2,5.9,2.3,2016,15-64,ARQ,HHS,Cannabis,,,BGR
190,Europe,South-Eastern Europe,Bulgaria,3.5,5.1,1.9,2012,15-64,ARQ,HHS,Cannabis,,,BGR
191,Europe,South-Eastern Europe,Bulgaria,2.5,,,2008,15-64,ARQ,HHS,Cannabis,,,BGR
192,Europe,South-Eastern Europe,Bulgaria,2.2,,,2007,15-64,ARQ ,HHS ,Cannabis,,,BGR
193,Europe,South-Eastern Europe,Croatia,10.2,14.2,6.2,2019,15-64,ARQ,HHS,Cannabis,,,HRV
194,Europe,South-Eastern Europe,Croatia,7.9,11.5,4.3,2015,15-64,ARQ,HHS,Cannabis,,,HRV
195,Europe,South-Eastern Europe,Croatia,5,,,2012,15-64,EMCDDA,HHS,Cannabis,,,HRV
196,Europe,South-Eastern Europe,Croatia,5.18,,,2007,15-64,ESPAD ,SS ,Cannabis,5.1,5.3,HRV
197,Europe,South-Eastern Europe,Kosovo under UNSCR 1244,1.3,,,2019,15-64,ESPAD/UNODC Estimate,SS,Cannabis,,,XKX
198,Europe,South-Eastern Europe,Montenegro,4.6,4.9,4.3,2017,15-64,ARQ,HHS,Cannabis,,,MNE
199,Europe,South-Eastern Europe,Montenegro,1.82,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cannabis,1.1,2.54,MNE
200,Europe,South-Eastern Europe,Montenegro,1.9,,,2011,15-64,ESPAD,SS,Cannabis,0.43,3.3,MNE
201,Europe,South-Eastern Europe,Montenegro,0.23,,,2008,15-64,ESPAD ,SS ,Cannabis,,,MNE
202,Europe,South-Eastern Europe,North Macedonia,6.6,8.3,4,2017,15-64,ARQ,HHS,Cannabis,,,MKD
203,Europe,South-Eastern Europe,North Macedonia,1.13,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cannabis,0.68,1.58,MKD
204,Europe,South-Eastern Europe,North Macedonia,0.63,,,2008,15-64,ESPAD,SS,Cannabis,0.46,2.38,MKD
205,Europe,South-Eastern Europe,Romania,3.5,4.8,2.1,2019,15-64,ARQ,HHS,Cannabis,,,ROU
206,Europe,South-Eastern Europe,Romania,3.2,4.3,2,2016,15-64,ARQ,HHS,Cannabis,,,ROU
207,Europe,South-Eastern Europe,Romania,2,2.3,1.8,2013,15-64,ARQ,HHS,Cannabis,,,ROU
208,Europe,South-Eastern Europe,Romania,0.3,,,2010,15-64,ARQ,HHS,Cannabis,,,ROU
209,Europe,South-Eastern Europe,Romania,0.4,,,2007,15-64,ARQ ,HHS ,Cannabis,,,ROU
210,Europe,South-Eastern Europe,Serbia,2,2.8,1.2,2018,15-64,ARQ,HHS,Cannabis,,,SRB
211,Europe,South-Eastern Europe,Serbia,1.6,2.5,0.6,2014,18-64,Government source,HHS,Cannabis,,,SRB
212,Europe,South-Eastern Europe,Serbia,4.07,,,2006,15-64,Government source,HHS,Cannabis,2.75,5.39,SRB
213,Europe,South-Eastern Europe,Türkiye,1.11,2.22,0.09,2018,15-64,ARQ,HHS,Cannabis,,,TUR
214,Europe,South-Eastern Europe,Türkiye,1.11,2.22,0.09,2017,15-64,EMCDDA,HHS,Cannabis,,,TUR
215,Europe,South-Eastern Europe,Türkiye,0.3,0.5,0.1,2011,15-64,EMCDDA,HHS,Cannabis,,,TUR
216,Europe,South-Eastern Europe,Türkiye,1.9,,,2003,15-64,UNODC Estimate,,Cannabis,,,TUR
217,Europe,Western and Central Europe,Austria,6.3,,,2020,15-64,Government source,HHS,Cannabis,5.62,7.04,AUT
218,Europe,Western and Central Europe,Austria,6.4,7.2,5.6,2015,15-64,Government source,HHS,Cannabis,5.5,7.2,AUT
219,Europe,Western and Central Europe,Austria,3.5,,,2008,15-64,ARQ,HHS,Cannabis,,,AUT
220,Europe,Western and Central Europe,Austria,7.5,,,2004,15-64,EMCDDA ,HHS ,Cannabis,,,AUT
221,Europe,Western and Central Europe,Belgium,7,10.4,3.7,2018,15-64,ARQ,HHS,Cannabis,,,BEL
222,Europe,Western and Central Europe,Belgium,4.6,6.3,2.9,2013,15-64,ARQ,HHS,Cannabis,,,BEL
223,Europe,Western and Central Europe,Belgium,5.1,7.2,3.2,2008,15-64,ARQ,HHS,Cannabis,,,BEL
224,Europe,Western and Central Europe,Belgium,5,6.9,3.2,2004,15-64,EMCDDA/Government source,HHS ,Cannabis,,,BEL
225,Europe,Western and Central Europe,Cyprus,4,6.4,1.7,2019,15-64,ARQ,HHS,Cannabis,,,CYP
226,Europe,Western and Central Europe,Cyprus,2.2,3.5,0.9,2016,15-64,ARQ,HHS,Cannabis,,,CYP
227,Europe,Western and Central Europe,Cyprus,2.2,3.5,1,2012,15-64,ARQ,HHS,Cannabis,,,CYP
228,Europe,Western and Central Europe,Cyprus,4.4,7.3,1.5,2009,15-64,ARQ,HHS,Cannabis,,,CYP
229,Europe,Western and Central Europe,Cyprus,2.1,3.7,0.6,2006,15-65,ARQ ,,Cannabis,,,CYP
230,Europe,Western and Central Europe,Czechia,9.4,14.6,4.2,2019,15-64,ARQ,HHS,Cannabis,,,CZE
231,Europe,Western and Central Europe,Czechia,7.9,10,5.8,2018,15-64,ARQ,HHS,Cannabis,,,CZE
232,Europe,Western and Central Europe,Czechia,8.9,11.9,5.9,2017,15-64,EMCDDA,HHS,Cannabis,,,CZE
233,Europe,Western and Central Europe,Czechia,9.5,14.2,5,2016,15-64,ARQ,HHS,Cannabis,,,CZE
234,Europe,Western and Central Europe,Czechia,9.4,13.4,5.3,2015,15-64,ARQ,HHS,Cannabis,,,CZE
235,Europe,Western and Central Europe,Czechia,11.4,15.4,7.3,2014,15-64,ARQ,HHS,Cannabis,,,CZE
236,Europe,Western and Central Europe,Czechia,8.9,13.2,5.3,2013,15-64,ARQ,HHS,Cannabis,,,CZE
237,Europe,Western and Central Europe,Czechia,9.2,13.1,5.3,2012,15-64,ARQ,HHS,Cannabis,,,CZE
