,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3,stimulant,depressant,Continent,Country,PopMale,PopFemale,PopTotal,DrugConsumingPopulation
60,Africa,West and Central Africa,Côte d'Ivoire,0.59,,,2017.0,15-64,Government source/UNODC Estimate,SS,Cocaine,0.49,0.78,CIV,0.59,,Africa,Côte d'Ivoire,12572385.0,12275634.0,24848024.0,146603.3416
61,Africa,West and Central Africa,Côte d'Ivoire,0.61,,,2017.0,15-64,UNODC Estimate,SS,Amphetamines,0.31,0.9,CIV,0.61,,Africa,Côte d'Ivoire,12572385.0,12275634.0,24848024.0,151572.94640000002
62,Africa,West and Central Africa,Côte d'Ivoire,0.9,,,2017.0,15-64,Government source/UNODC Estimate,SS,Opiates,0.86,0.94,CIV,,0.9,Africa,Côte d'Ivoire,12572385.0,12275634.0,24848024.0,223632.21600000001
63,Africa,West and Central Africa,Liberia,7.52,,,2017.0,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,LBR,,7.52,Africa,Liberia,2383295.0,2413349.0,4796632.0,360706.7264
64,Africa,West and Central Africa,Liberia,3.18,,,2008.0,15-64,UNODC Estimate,,Cannabis,1.53,4.83,LBR,,3.18,Africa,Liberia,1869367.0,1914538.0,3783892.0,120327.7656
65,Africa,West and Central Africa,Nigeria,10.76,18.8,2.6,2017.0,15-64,Government/UNODC,HHS/I,Cannabis,10.26,11.26,NGA,,10.76,Africa,Nigeria,97662958.0,95832953.0,193495908.0,20820159.700799998
66,Africa,West and Central Africa,Nigeria,0.09,,,2017.0,15-64,Government source/UNODC,HHS/I,Cocaine,0.0,0.24,NGA,0.09,,Africa,Nigeria,97662958.0,95832953.0,193495908.0,174146.3172
67,Africa,West and Central Africa,Nigeria,0.09,,,2017.0,15-64,Government/UNODC,HHS/I,Amphetamines,0.0,1.0,NGA,0.09,,Africa,Nigeria,97662958.0,95832953.0,193495908.0,174146.3172
68,Africa,West and Central Africa,Nigeria,0.34,,,2017.0,15-64,Government/UNODC,HHS/I,Ecstasy,0.0,1.25,NGA,0.34,,Africa,Nigeria,97662958.0,95832953.0,193495908.0,657886.0872000001
69,Africa,West and Central Africa,Nigeria,0.16,,,2017.0,15-64,Government/UNODC,HHS/I,Prescription Stimulants,0.0,0.48,NGA,0.16,,Africa,Nigeria,97662958.0,95832953.0,193495908.0,309593.4528
70,Africa,West and Central Africa,Nigeria,4.66,,,2017.0,15-64,Government/UNODC,HHS/I,Opioids,4.27,5.05,NGA,,4.66,Africa,Nigeria,97662958.0,95832953.0,193495908.0,9016909.3128
71,Africa,West and Central Africa,Nigeria,0.09,,,2017.0,15-64,Government/UNODC,HHS/I,Opiates,0.0,0.21,NGA,,0.09,Africa,Nigeria,97662958.0,95832953.0,193495908.0,174146.3172
72,Africa,West and Central Africa,Nigeria,4.66,6.0,3.3,2017.0,15-64,Government/UNODC,HHS/I,Prescription opioids,4.21,5.11,NGA,,4.66,Africa,Nigeria,97662958.0,95832953.0,193495908.0,9016909.3128
73,Africa,West and Central Africa,Nigeria,0.49,,,2017.0,15-64,Government/UNODC,HHS/I,Tranquillizers and sedatives,,,NGA,,0.49,Africa,Nigeria,97662958.0,95832953.0,193495908.0,948129.9492
74,Africa,West and Central Africa,Nigeria,14.3,,,2008.0,15-64,ARQ,HHS,Cannabis,11.76,16.84,NGA,,14.3,Africa,Nigeria,76699002.00000001,75683501.0,152382511.0,21790699.073000003
75,Africa,West and Central Africa,Nigeria,0.7,,,2008.0,15-64,ARQ,HHS,Cocaine,0.28,1.11,NGA,0.7,,Africa,Nigeria,76699002.00000001,75683501.0,152382511.0,1066677.5769999998
76,Africa,West and Central Africa,Nigeria,1.4,,,2008.0,15-64,ARQ,HHS,Amphetamines,0.71,2.01,NGA,1.4,,Africa,Nigeria,76699002.00000001,75683501.0,152382511.0,2133355.1539999996
77,Africa,West and Central Africa,Nigeria,0.7,,,2008.0,15-64,UNODC Estimate,,Opiates,0.3,1.0,NGA,,0.7,Africa,Nigeria,76699002.00000001,75683501.0,152382511.0,1066677.5769999998
78,Africa,West and Central Africa,Sierra Leone,6.48,,,2017.0,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,SLE,,6.48,Africa,Sierra Leone,3844270.0,3833307.0,7677570.0,497506.536
79,Africa,West and Central Africa,Sierra Leone,5.42,,,2010.0,15-64,UNODC Estimate,,Cannabis,3.52,7.32,SLE,,5.42,Africa,Sierra Leone,3215636.0,3221079.0,6436699.0,348869.0858
80,Africa,West and Central Africa,Togo,1.0,,,2009.0,15-64,UNODC Estimate,SS,Cannabis,0.2,3.1,TGO,,1.0,Africa,Togo,3201544.0,3197096.0,6398626.0,63986.26
81,Africa,West and Central Africa,Togo,2.73,,,2006.0,15-64,UNODC Estimate ,SS ,Cannabis,,,TGO,,2.73,Africa,Togo,2934401.0,2939847.0,5874244.0,160366.86119999998
82,Americas,Caribbean,Bahamas,3.1,5.0,1.0,2017.0,12-65,ARQ,HHS,Cannabis,,,BHS,,3.1,America,Bahamas,191503.0,207537.0,399027.0,12369.837
83,Americas,Caribbean,Bahamas,0.05,0.1,0.0,2017.0,12-65,Government source,HHS,Cocaine,0.02,0.1,BHS,0.05,,America,Bahamas,191503.0,207537.0,399027.0,199.51350000000002
84,Americas,Caribbean,Bahamas,5.54,,,2008.0,15-64,ARQ,SS,Cannabis,3.2,7.89,BHS,,5.54,America,Bahamas,175837.0,186988.0,362807.0,20099.5078
85,Americas,Caribbean,Bahamas,0.43,,,2008.0,15-64,ARQ,SS,Amphetamines,0.13,1.06,BHS,0.43,,America,Bahamas,175837.0,186988.0,362807.0,1560.0701000000001
86,Americas,Caribbean,Bahamas,0.11,,,2008.0,15-64,Government source,SS,Ecstasy,0.04,0.6,BHS,0.11,,America,Bahamas,175837.0,186988.0,362807.0,399.0877
87,Americas,Caribbean,Bahamas,4.7,,,2003.0,15-64,UNODC Estimate ,SS ,Cannabis,,,BHS,,4.7,America,Bahamas,164993.0,173526.0,338505.0,15909.735
88,Americas,Caribbean,Bahamas,0.29,,,2003.0,15-64,UNODC Estimate ,,Amphetamines,,,BHS,0.29,,America,Bahamas,164993.0,173526.0,338505.0,981.6645
89,Americas,Caribbean,Bahamas,0.14,,,2003.0,15-64,UNODC Estimate ,,Ecstasy,,,BHS,0.14,,America,Bahamas,164993.0,173526.0,338505.0,473.90700000000004
90,Americas,Caribbean,Bahamas,0.22,,,2003.0,15-64,UNODC Estimate,,Opiates,,,BHS,,0.22,America,Bahamas,164993.0,173526.0,338505.0,744.711
91,Americas,Caribbean,Barbados,8.3,,,2006.0,15-64,CICAD,HHS,Cannabis,,,BRB,,8.3,America,Barbados,129202.0,141257.0,270436.0,22446.188000000002
92,Americas,Caribbean,Barbados,0.4,,,2006.0,15-64,CICAD,HHS,Cocaine,,,BRB,0.4,,America,Barbados,129202.0,141257.0,270436.0,1081.7440000000001
93,Americas,Caribbean,Barbados,0.2,,,2006.0,12-65,CICAD,HHS,Amphetamines,,,BRB,0.2,,America,Barbados,129202.0,141257.0,270436.0,540.8720000000001
94,Americas,Caribbean,Barbados,0.3,,,2006.0,12-65,CICAD,HHS,Ecstasy,,,BRB,0.3,,America,Barbados,129202.0,141257.0,270436.0,811.308
95,Americas,Caribbean,Barbados,0.23,,,2006.0,15-64,UNODC Estimate,,Opioids,0.16,0.29,BRB,,0.23,America,Barbados,129202.0,141257.0,270436.0,622.0028000000001
96,Americas,Caribbean,Barbados,0.11,,,2006.0,15-64,UNODC Estimate,,Opiates,0.1,0.13,BRB,,0.11,America,Barbados,129202.0,141257.0,270436.0,297.4796
97,Americas,Caribbean,Barbados,0.16,,,2006.0,15-64,UNODC Estimate,,Prescription opioids,0.12,0.21,BRB,,0.16,America,Barbados,129202.0,141257.0,270436.0,432.6976
98,Americas,Caribbean,Dominican Republic,0.68,1.4,0.22,2010.0,12-65,CICAD,HHS,Cannabis,,,DOM,,0.68,America,Dominican Republic,4943964.0,4831797.0,9775756.0,66475.1408
99,Americas,Caribbean,Dominican Republic,0.32,,,2010.0,12-65,CICAD,HHS,Cocaine,0.28,0.35,DOM,0.32,,America,Dominican Republic,4943964.0,4831797.0,9775756.0,31282.4192
100,Americas,Caribbean,Dominican Republic,0.23,,,2010.0,12-65,CICAD,HHS,Ecstasy,,,DOM,0.23,,America,Dominican Republic,4943964.0,4831797.0,9775756.0,22484.2388
101,Americas,Caribbean,Dominican Republic,0.31,,,2008.0,15-64,ARQ,SS,Cannabis,0.25,1.41,DOM,,0.31,America,Dominican Republic,4822332.0,4700626.0,9522954.0,29521.157399999996
102,Americas,Caribbean,Dominican Republic,0.3,,,2008.0,15-64,ARQ,SS,Cocaine,0.13,0.57,DOM,0.3,,America,Dominican Republic,4822332.0,4700626.0,9522954.0,28568.861999999997
103,Americas,Caribbean,Dominican Republic,0.95,,,2008.0,15-64,ARQ,SS,Amphetamines,0.04,2.59,DOM,0.95,,America,Dominican Republic,4822332.0,4700626.0,9522954.0,90468.063
104,Americas,Caribbean,Dominican Republic,0.05,,,2008.0,15-64,Government source,SS,Ecstasy,0.02,0.52,DOM,0.05,,America,Dominican Republic,4822332.0,4700626.0,9522954.0,4761.477
105,Americas,Caribbean,Dominican Republic,0.07,,,2008.0,15-64,UNODC Estimate,SS,Opiates,0.05,0.09,DOM,,0.07,America,Dominican Republic,4822332.0,4700626.0,9522954.0,6666.067800000001
106,Americas,Caribbean,Dominican Republic,0.03,,,2008.0,15-64,UNODC Estimate,SS,Prescription opioids,,,DOM,,0.03,America,Dominican Republic,4822332.0,4700626.0,9522954.0,2856.8862
107,Americas,Caribbean,Haiti,2.5,2.3,2.7,2018.0,15-64,ARQ,HHS,Cannabis,,,HTI,,2.5,America,Haiti,5463741.0,5548691.0,11012427.0,275310.675
108,Americas,Caribbean,Haiti,0.2,0.3,0.1,2018.0,15-64,ARQ,HHS,Cocaine,,,HTI,0.2,,America,Haiti,5463741.0,5548691.0,11012427.0,22024.854
109,Americas,Caribbean,Haiti,6.1,6.7,5.7,2018.0,15-64,ARQ,HHS,Amphetamines,,,HTI,6.1,,America,Haiti,5463741.0,5548691.0,11012427.0,671758.047
110,Americas,Caribbean,Haiti,11.7,11.6,11.8,2018.0,15-64,ARQ,HHS,Tranquillizers and sedatives,,,HTI,,11.7,America,Haiti,5463741.0,5548691.0,11012427.0,1288453.9589999998
111,Americas,Caribbean,Haiti,1.51,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,0.26,2.75,HTI,,1.51,America,Haiti,4890740.0,4952142.0,9842883.0,148627.5333
112,Americas,Caribbean,Haiti,0.88,,,2010.0,15-64,UNODC Estimate,SS,Cocaine,0.34,1.42,HTI,0.88,,America,Haiti,4890740.0,4952142.0,9842883.0,86617.37040000001
113,Americas,Caribbean,Haiti,0.24,,,2010.0,15-64,UNODC Estimate,SS,Ecstasy,0.06,0.41,HTI,0.24,,America,Haiti,4890740.0,4952142.0,9842883.0,23622.9192
114,Americas,Caribbean,Haiti,1.41,,,2005.0,15-64,UNODC Estimate,SS,Cannabis,0.43,2.15,HTI,,1.41,America,Haiti,4526367.0,4585534.0,9111901.0,128477.80410000001
115,Americas,Caribbean,Haiti,0.9,,,2005.0,15-64,UNODC Estimate,,Cocaine,,,HTI,0.9,,America,Haiti,4526367.0,4585534.0,9111901.0,82007.109
116,Americas,Caribbean,Haiti,0.56,,,2005.0,15-64,UNODC Estimate,SS,Ecstasy,0.11,1.17,HTI,0.56,,America,Haiti,4526367.0,4585534.0,9111901.0,51026.6456
117,Americas,Caribbean,Jamaica,18.0,28.5,7.8,2016.0,12-65,Government source,HHS,Cannabis,,,JAM,,18.0,America,Jamaica,1391830.0,1410873.0,2802699.0,504485.82
118,Americas,Caribbean,Jamaica,7.21,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,4.25,10.17,JAM,,7.21,America,Jamaica,1355511.0,1378390.0,2733904.0,197114.4784
119,Americas,Caribbean,Jamaica,0.98,,,2010.0,15-64,UNODC Estimate,SS,Cocaine,0.39,1.56,JAM,0.98,,America,Jamaica,1355511.0,1378390.0,2733904.0,26792.2592
120,Americas,Caribbean,Jamaica,0.81,,,2010.0,15-64,ARQ,SS,Amphetamines,0.13,1.5,JAM,0.81,,America,Jamaica,1355511.0,1378390.0,2733904.0,22144.622400000004
121,Americas,Caribbean,Jamaica,0.23,,,2010.0,15-64,UNODC Estimate,SS,Ecstasy,0.06,0.4,JAM,0.23,,America,Jamaica,1355511.0,1378390.0,2733904.0,6287.979200000001
122,Americas,Caribbean,Jamaica,9.86,,,2006.0,15-64,Government source,SS,Cannabis,7.52,12.2,JAM,,9.86,America,Jamaica,1332884.0,1356782.0,2689658.0,265200.2788
123,Americas,Caribbean,Jamaica,1.1,,,2006.0,15-64,UNODC Estimate,SS,Cocaine,,,JAM,1.1,,America,Jamaica,1332884.0,1356782.0,2689658.0,29586.238
124,Americas,Caribbean,Jamaica,1.14,,,2006.0,15-64,Government source ,SS ,Amphetamines,0.39,1.91,JAM,1.14,,America,Jamaica,1332884.0,1356782.0,2689658.0,30662.101199999997
125,Americas,Caribbean,Jamaica,1.0,,,2006.0,15-64,UNODC Estimate,SS,Opioids,0.5,1.5,JAM,,1.0,America,Jamaica,1332884.0,1356782.0,2689658.0,26896.58
126,Americas,Caribbean,Jamaica,0.7,,,2006.0,15-64,UNODC Estimate,SS,Opiates,0.3,1.1,JAM,,0.7,America,Jamaica,1332884.0,1356782.0,2689658.0,18827.606
127,Americas,Caribbean,Jamaica,10.7,,,2001.0,12-55,UNODC Estimate ,,Cannabis,,,JAM,,10.7,America,Jamaica,1300469.0,1324948.0,2625410.0,280918.86999999994
128,Americas,Caribbean,Jamaica,0.1,,,2001.0,15-64,UNODC Estimate ,,Opiates,,,JAM,,0.1,America,Jamaica,1300469.0,1324948.0,2625410.0,2625.41
129,Americas,Caribbean,Jamaica,0.1,,0.2,2001.0,12-55,ARQ,HHS,Tranquillizers and sedatives,,,JAM,,0.1,America,Jamaica,1300469.0,1324948.0,2625410.0,2625.41
130,Americas,Caribbean,Puerto Rico,4.88,,,2005.0,15-64,Government source,SS,Cannabis,3.1,6.65,PRI,,4.88,America,Puerto Rico,1828298.0,1977268.0,3805560.0,185711.328
131,Americas,Caribbean,Puerto Rico,0.83,,,2005.0,15-64,Government source,SS,Cocaine,0.34,1.39,PRI,0.83,,America,Puerto Rico,1828298.0,1977268.0,3805560.0,31586.147999999997
132,Americas,Caribbean,Puerto Rico,0.43,,,2005.0,15-64,Government source,SS,Amphetamines,0.13,1.06,PRI,0.43,,America,Puerto Rico,1828298.0,1977268.0,3805560.0,16363.908000000001
133,Americas,Caribbean,Puerto Rico,0.42,,,2005.0,15-64,Government source,SS,Ecstasy,0.09,0.99,PRI,0.42,,America,Puerto Rico,1828298.0,1977268.0,3805560.0,15983.351999999999
134,Americas,Caribbean,Saint Lucia,8.87,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,5.64,12.1,LCA,,8.87,America,Saint Lucia,85244.0,85727.0,170950.0,15163.264999999998
135,Americas,Caribbean,Saint Lucia,0.6,,,2010.0,15-64,UNODC Estimate,SS,Cocaine,0.19,1.02,LCA,0.6,,America,Saint Lucia,85244.0,85727.0,170950.0,1025.7
136,Americas,Caribbean,Saint Lucia,0.17,,,2010.0,15-64,UNODC Estimate,SS,Ecstasy,0.03,0.3,LCA,0.17,,America,Saint Lucia,85244.0,85727.0,170950.0,290.615
137,Americas,Caribbean,Saint Lucia,9.0,,,2006.0,15-64,UNODC Estimate,SS,Cannabis,,,LCA,,9.0,America,Saint Lucia,82705.0,83808.0,166476.0,14982.84
