,Entity,Code,Year,Anxiety_disorders_%,Mental_disorders_male(%),Mental_disorders_female(%),Total,Depressive_disorders(%),World Population,Yearly Change,Net Change,Density (P/Km²)
12,Azerbaijan,AZE,1990,2.66,0.006278796548712344,0.0069286838842449825,0.013207480432957329,0.0033682225896602613,5327231061,1.71 %,89789503.0,36.0
13,Bahamas,BHS,1990,4.45,0.0003226817046823042,0.00033186095736349367,0.0006545426620457979,0.0001371068744036969,5327231061,1.71 %,89789503.0,36.0
14,Bahrain,BHR,1990,5.12,0.0007728405156181004,0.0006053426185337374,0.0013781831341518377,0.0004549830807498365,5327231061,1.71 %,89789503.0,36.0
15,Bangladesh,BGD,1990,3.13,0.12374327158924785,0.11307581614207743,0.2368190877313253,0.07104234745337996,5327231061,1.71 %,89789503.0,36.0
16,Barbados,BRB,1990,4.45,0.00031703148984173565,0.0003465214815843709,0.0006635529714261065,0.0001553715223766976,5327231061,1.71 %,89789503.0,36.0
17,Belarus,BLR,1990,3.76,0.01082194471008698,0.01387863585292307,0.02470058056301005,0.008557297304735775,5327231061,1.71 %,89789503.0,36.0
18,Belgium,BEL,1990,5.49,0.012226464227698346,0.01412403538319135,0.026350499610889692,0.00708944282077199,5327231061,1.71 %,89789503.0,36.0
19,Belize,BLZ,1990,4.2,0.0002370649940914962,0.0002096961793488086,0.00044676117344030476,8.563548206868364e-05,5327231061,1.71 %,89789503.0,36.0
20,Benin,BEN,1990,3.18,0.004081782778147081,0.004566687594630693,0.008648470372777774,0.0025758221940957405,5327231061,1.71 %,89789503.0,36.0
21,Bermuda,BMU,1990,4.46,7.703814520163911e-05,8.649897005096322e-05,0.00016353711525260233,4.437577369802019e-05,5327231061,1.71 %,89789503.0,36.0
22,Bhutan,BTN,1990,3.22,0.0006955958841598291,0.0006025268968523909,0.0012981227810122203,0.0003466528819295004,5327231061,1.71 %,89789503.0,36.0
23,Bolivia,BOL,1990,5.81,0.007614443513997975,0.008524128103329512,0.01613857161732749,0.0033804428217573046,5327231061,1.71 %,89789503.0,36.0
24,Bosnia and Herzegovina,BIH,1990,3.74,0.00481809399781918,0.005601183740357381,0.010419277738176561,0.002914478426450217,5327231061,1.71 %,89789503.0,36.0
25,Botswana,BWA,1990,3.58,0.0011112902617159447,0.0012718239405084442,0.002383114202224389,0.0007373999653888864,5327231061,1.71 %,89789503.0,36.0
26,Brazil,BRA,1990,6.11,0.1810322452615689,0.22048805215133882,0.40152029741290773,0.09940220237051212,5327231061,1.71 %,89789503.0,36.0
27,Brunei,BRN,1990,3.03,0.00025654978812641365,0.00020406473598611572,0.0004606145241125294,6.984866917526782e-05,5327231061,1.71 %,89789503.0,36.0
28,Bulgaria,BGR,1990,3.63,0.008411536779031406,0.010662668720312149,0.019074205499343553,0.005698138423585078,5327231061,1.71 %,89789503.0,36.0
29,Burkina Faso,BFA,1990,3.09,0.00841979622929669,0.009167407878649924,0.017587204107946616,0.005278408178285699,5327231061,1.71 %,89789503.0,36.0
30,Burundi,BDI,1990,3.6,0.005398038806787172,0.006065796589257422,0.011463835396044595,0.003924008506602301,5327231061,1.71 %,89789503.0,36.0
31,Cambodia,KHM,1990,4.48,0.01013828748585606,0.012929643788919934,0.023067931274775993,0.00459961276682457,5327231061,1.71 %,89789503.0,36.0
32,Cameroon,CMR,1990,3.2,0.008877313459559737,0.009774627644971227,0.018651941104530965,0.0060300932383379495,5327231061,1.71 %,89789503.0,36.0
33,Canada,CAN,1990,4.89,0.033962897033799226,0.03762874140517781,0.07159163843897703,0.018464076153951528,5327231061,1.71 %,89789503.0,36.0
34,Cape Verde,CPV,1990,3.15,0.00030601263232873314,0.0003496750898674789,0.0006556877221962121,0.00022390618810067044,5327231061,1.71 %,89789503.0,36.0
35,Central African Republic,CAF,1990,4.22,0.0029792024821654346,0.0032536978031409624,0.006232900285306397,0.002313791134429639,5327231061,1.71 %,89789503.0,36.0
36,Chad,TCD,1990,3.24,0.005431208008193434,0.006190983575210086,0.011622191583403519,0.0038122055843749707,5327231061,1.71 %,89789503.0,36.0
37,Chile,CHL,1990,5.77,0.014664297287930235,0.02194423306618425,0.03660853035411449,0.010508761373209751,5327231061,1.71 %,89789503.0,36.0
38,China,CHN,1990,3.65,1.2699372380386411,1.2196878125988986,2.4896250506375397,0.6409248558779568,5327231061,1.71 %,89789503.0,36.0
39,Colombia,COL,1990,4.75,0.03217630285550702,0.035748984382188785,0.06792528723769581,0.012615259077458665,5327231061,1.71 %,89789503.0,36.0
40,Comoros,COM,1990,3.54,0.00042286508210461117,0.0004489762078296307,0.0008718412899342419,0.00027152942747117685,5327231061,1.71 %,89789503.0,36.0
41,Congo,COG,1990,3.77,0.0023997457316222086,0.0026676898068191375,0.0050674355384413465,0.002011288768463651,5327231061,1.71 %,89789503.0,36.0
42,Cook Islands,COK,1990,4.1,1.9128135955280278e-05,1.8489905707508414e-05,3.761804166278869e-05,9.81748292896132e-06,5327231061,1.71 %,89789503.0,36.0
43,Costa Rica,CRI,1990,4.19,0.0031431901128870523,0.003372802830261918,0.00651599294314897,0.0014848051284854903,5327231061,1.71 %,89789503.0,36.0
44,Cote d'Ivoire,CIV,1990,3.21,0.010669482766781006,0.010240085210375671,0.02090956797715668,0.006062511580629185,5327231061,1.71 %,89789503.0,36.0
45,Croatia,HRV,1990,3.76,0.004846101042809639,0.006350447279763674,0.011196548322573312,0.003685404251325002,5327231061,1.71 %,89789503.0,36.0
46,Cuba,CUB,1990,4.4,0.015190011297315493,0.016896432493600823,0.03208644379091632,0.010435120865503604,5327231061,1.71 %,89789503.0,36.0
47,Cyprus,CYP,1990,6.8,0.0009762857928343199,0.0011763334325550479,0.002152619225389368,0.00047200881118304467,5327231061,1.71 %,89789503.0,36.0
48,Czechia,CZE,1990,3.41,0.009740651270016313,0.012687022437377248,0.022427673707393563,0.007193624522981808,5327231061,1.71 %,89789503.0,36.0
49,Democratic Republic of Congo,COD,1990,3.84,0.03863065026531238,0.04183464119503864,0.08046529146035102,0.02887135891776555,5327231061,1.71 %,89789503.0,36.0
50,Denmark,DNK,1990,5.28,0.0058639093447048814,0.008180572515249495,0.014044481859954374,0.0049437314992408585,5327231061,1.71 %,89789503.0,36.0
51,Djibouti,DJI,1990,3.29,0.00046802925787340846,0.0004058581231492786,0.000873887381022687,0.0002738195477720053,5327231061,1.71 %,89789503.0,36.0
52,Dominica,DMA,1990,4.41,9.389493233396659e-05,9.203655602427791e-05,0.00018593148835824452,3.9063445459213206e-05,5327231061,1.71 %,89789503.0,36.0
53,Dominican Republic,DOM,1990,4.61,0.00904959808350239,0.009446689926483743,0.01849628800998613,0.004195293904861094,5327231061,1.71 %,89789503.0,36.0
54,East Asia & Pacific (WB),,1990,3.55,1.952865884898774,1.9517754872919335,3.904641372190708,0.9406588981442343,5327231061,1.71 %,89789503.0,36.0
55,Eastern Mediterranean Region (WHO),,1990,4.75,0.47845204587794765,0.4665957551939571,0.9450478010719047,0.2347087043311561,5327231061,1.71 %,89789503.0,36.0
56,Ecuador,ECU,1990,5.28,0.011718695751162201,0.012748987085844744,0.024467682837006947,0.0051546290531737085,5327231061,1.71 %,89789503.0,36.0
57,Egypt,EGY,1990,4.53,0.07202807529958573,0.07191469557321685,0.14394277087280258,0.033049420605936804,5327231061,1.71 %,89789503.0,36.0
58,El Salvador,SLV,1990,4.32,0.005471078627201299,0.006443835382194998,0.011914914009396297,0.0030286840978456294,5327231061,1.71 %,89789503.0,36.0
59,England,,1990,4.49,0.06074024128010317,0.06970028064266086,0.13044052192276404,0.04656687445305463,5327231061,1.71 %,89789503.0,36.0
60,Equatorial Guinea,GNQ,1990,3.88,0.000418510099237462,0.0004950038715807075,0.0009135139708181694,0.0003474037410445261,5327231061,1.71 %,89789503.0,36.0
61,Eritrea,ERI,1990,3.75,0.003004731692076309,0.003147394923931196,0.006152126616007505,0.0018823287154579834,5327231061,1.71 %,89789503.0,36.0
62,Estonia,EST,1990,3.65,0.0016224563757475808,0.0022356830149890886,0.0038581393907366696,0.0015573756619527263,5327231061,1.71 %,89789503.0,36.0
63,Eswatini,SWZ,1990,3.55,0.0006608311071341382,0.0007540127233088305,0.0014148438304429686,0.0004205749618037827,5327231061,1.71 %,89789503.0,36.0
64,Ethiopia,ETH,1990,3.67,0.05246738817961702,0.054951980991237125,0.10741936917085414,0.03265827932144203,5327231061,1.71 %,89789503.0,36.0
65,Europe & Central Asia (WB),,1990,4.55,0.9401728670390781,1.1806985144772943,2.120871381516372,0.6373538074698503,5327231061,1.71 %,89789503.0,36.0
66,European Region (WHO),,1990,4.55,0.9484760736192891,1.1900202614470379,2.138496335066327,0.6424876001825819,5327231061,1.71 %,89789503.0,36.0
67,Fiji,FJI,1990,4.06,0.0007515161167513699,0.000757973505140591,0.001509489621891961,0.0003495812324781007,5327231061,1.71 %,89789503.0,36.0
68,Finland,FIN,1990,4.69,0.006819189853796357,0.00761269776655554,0.014431887620351897,0.0051567314586957805,5327231061,1.71 %,89789503.0,36.0
69,France,FRA,1990,6.77,0.07401706355233312,0.10371740847604281,0.17773447202837594,0.05376725670807167,5327231061,1.71 %,89789503.0,36.0
70,G20,,1990,3.92,4.213365882385179,4.470439507373191,8.68380538975837,2.238903186932743,5327231061,1.71 %,89789503.0,36.0
71,Gabon,GAB,1990,3.96,0.001014466978833378,0.0010637984226905678,0.0020782654015239453,0.0008362130249262714,5327231061,1.71 %,89789503.0,36.0
72,Gambia,GMB,1990,3.31,0.0008610289186778714,0.0010590116958322788,0.0019200406145101505,0.0006828312792043919,5327231061,1.71 %,89789503.0,36.0
73,Georgia,GEO,1990,2.67,0.00498478472135489,0.006076177216522653,0.011060961937877542,0.003656740204608895,5327231061,1.71 %,89789503.0,36.0
74,Germany,DEU,1990,6.39,0.08887543915001962,0.12468030622184421,0.21355574537186384,0.05612848336709306,5327231061,1.71 %,89789503.0,36.0
75,Ghana,GHA,1990,2.98,0.013380159257935368,0.014143651577571399,0.027523810835506767,0.008715034033324803,5327231061,1.71 %,89789503.0,36.0
76,Greece,GRC,1990,5.96,0.014089852521979805,0.018085436673721932,0.032175289195701735,0.011121218381858356,5327231061,1.71 %,89789503.0,36.0
77,Greenland,GRL,1990,5.12,9.254338592692027e-05,8.987783606857897e-05,0.00018242122199549923,7.46729389893081e-05,5327231061,1.71 %,89789503.0,36.0
78,Grenada,GRD,1990,4.4,0.00010782336891769373,0.00010527044792660627,0.00021309381684430002,4.467611734403048e-05,5327231061,1.71 %,89789503.0,36.0
79,Guam,GUM,1990,4.09,0.00014544141058048243,0.00012815287945701516,0.00027359429003749754,7.739480328127633e-05,5327231061,1.71 %,89789503.0,36.0
80,Guatemala,GTM,1990,4.14,0.007911933895371166,0.008687158388679474,0.016599092284050636,0.004037744891050822,5327231061,1.71 %,89789503.0,36.0
81,Guinea,GIN,1990,3.34,0.005330799373036619,0.00610264500032731,0.01143344437336393,0.0035442051947444145,5327231061,1.71 %,89789503.0,36.0
82,Guinea-Bissau,GNB,1990,3.07,0.0008553787038373028,0.0009730758701175849,0.0018284545739548877,0.0005577569221189823,5327231061,1.71 %,89789503.0,36.0
83,Guyana,GUY,1990,4.44,0.00105262939335456,0.0010666892302834167,0.002119318623637977,0.0005705402985522951,5327231061,1.71 %,89789503.0,36.0
84,Haiti,HTI,1990,4.52,0.007991111989050628,0.008259225007548438,0.016250336996599068,0.0035238381412493417,5327231061,1.71 %,89789503.0,36.0
85,Honduras,HND,1990,3.96,0.004563177328267947,0.004822693009898712,0.009385870338166659,0.0018553916447064354,5327231061,1.71 %,89789503.0,36.0
86,Hungary,HUN,1990,3.63,0.010139826747041862,0.013422864370102455,0.02356269111714432,0.007706855499579765,5327231061,1.71 %,89789503.0,36.0
87,Iceland,ISL,1990,5.52,0.00030430442784204964,0.0003541614730797576,0.0006584659009218072,0.00015933230420845827,5327231061,1.71 %,89789503.0,36.0
88,India,IND,1990,3.02,1.0798975929758343,1.0560520907730155,2.1359496837488496,0.5170623103182871,5327231061,1.71 %,89789503.0,36.0
89,Indonesia,IDN,1990,3.46,0.17030832520894854,0.19015201112937047,0.360460336338319,0.07084547219342022,5327231061,1.71 %,89789503.0,36.0
90,Iran,IRN,1990,7.37,0.09349489336895876,0.09417888847979143,0.1876737818487502,0.04025763056722799,5327231061,1.71 %,89789503.0,36.0
91,Iraq,IRQ,1990,5.25,0.02016856388801567,0.02178317378601123,0.0419517376740269,0.009783769354696666,5327231061,1.71 %,89789503.0,36.0
92,Ireland,IRL,1990,7.07,0.004990810365752971,0.005777297745786664,0.010768108111539635,0.002764118888666316,5327231061,1.71 %,89789503.0,36.0
93,Israel,ISR,1990,3.97,0.005989471760215058,0.006588957677651594,0.012578429437866653,0.003929151891540227,5327231061,1.71 %,89789503.0,36.0
94,Italy,ITA,1990,6.34,0.06983581071292301,0.09655319885889214,0.16638900957181516,0.047055007963732846,5327231061,1.71 %,89789503.0,36.0
95,Jamaica,JAM,1990,4.06,0.002890713735459653,0.00289033830590214,0.005781052041361793,0.0011823403054752539,5327231061,1.71 %,89789503.0,36.0
96,Japan,JPN,1990,2.87,0.12820607782531473,0.12010055367861205,0.2483066315039268,0.055201247445947794,5327231061,1.71 %,89789503.0,36.0
97,Jordan,JOR,1990,5.04,0.004751868223873911,0.00482321861127923,0.009575086835153141,0.002445660766506032,5327231061,1.71 %,89789503.0,36.0
98,Kazakhstan,KAZ,1990,2.23,0.014341052438911659,0.01604304356641834,0.03038409600533,0.009941036796338803,5327231061,1.71 %,89789503.0,36.0
99,Kenya,KEN,1990,3.43,0.02081343923895551,0.022151901925922486,0.042965341164878,0.01384274478722484,5327231061,1.71 %,89789503.0,36.0
100,Kiribati,KIR,1990,4.06,7.478556785656195e-05,7.743234623702761e-05,0.00015221791409358957,3.572212239734874e-05,5327231061,1.71 %,89789503.0,36.0
101,Kuwait,KWT,1990,4.52,0.002326311710172693,0.001912381851536888,0.004238693561709582,0.0012277297389785586,5327231061,1.71 %,89789503.0,36.0
102,Kyrgyzstan,KGZ,1990,2.15,0.004076113791828636,0.004308016629504331,0.008384130421332967,0.0025447553982115515,5327231061,1.71 %,89789503.0,36.0
103,Laos,LAO,1990,4.33,0.00422741190350632,0.004722603489865783,0.008950015393372103,0.0017470051314524726,5327231061,1.71 %,89789503.0,36.0
104,Latin America & Caribbean (WB),,1990,4.95,0.48493702833964614,0.55918312269354,1.0441201510331861,0.24345899119993136,5327231061,1.71 %,89789503.0,36.0
105,Latvia,LVA,1990,4.02,0.002794096938833718,0.0037695567866415096,0.006563653725475228,0.0025081134733982964,5327231061,1.71 %,89789503.0,36.0
106,Lebanon,LBN,1990,6.3,0.004241978570337819,0.00480275770039478,0.009044736270732597,0.0023631413497647046,5327231061,1.71 %,89789503.0,36.0
107,Lesotho,LSO,1990,3.55,0.0017813193930091482,0.0021225285463547117,0.00390384793936386,0.0014101697324519335,5327231061,1.71 %,89789503.0,36.0
108,Liberia,LBR,1990,3.44,0.0017577048738415893,0.002108956767850622,0.003866661641692211,0.0012279362252351907,5327231061,1.71 %,89789503.0,36.0
109,Libya,LBY,1990,5.28,0.005153033477554279,0.005023003450309699,0.01017603692786398,0.0026151296687673374,5327231061,1.71 %,89789503.0,36.0
110,Lithuania,LTU,1990,4.53,0.0039791027941673135,0.005229301992163016,0.009208404786330329,0.0032475032154420007,5327231061,1.71 %,89789503.0,36.0
111,Luxembourg,LUX,1990,5.81,0.00047086375103263053,0.0005970080823569519,0.0010678718333895824,0.0003161304589037048,5327231061,1.71 %,89789503.0,36.0
112,Madagascar,MDG,1990,3.86,0.011554370233838821,0.012176701039850015,0.023731071273688835,0.007569204252317675,5327231061,1.71 %,89789503.0,36.0
113,Malawi,MWI,1990,3.74,0.00895722364087635,0.00980989925189956,0.01876712289277591,0.005293087473984452,5327231061,1.71 %,89789503.0,36.0
114,Malaysia,MYS,1990,4.55,0.016003266804799854,0.018524276283498717,0.03452754308829857,0.008963831201088577,5327231061,1.71 %,89789503.0,36.0
115,Maldives,MDV,1990,3.66,0.00020385824972948363,0.0002175426571008274,0.000421400906830311,0.00010579604930712429,5327231061,1.71 %,89789503.0,36.0
116,Mali,MLI,1990,2.65,0.0071364466013726,0.0075402586334334335,0.014676705234806034,0.0040826838090851116,5327231061,1.71 %,89789503.0,36.0
117,Malta,MLT,1990,6.8,0.000461684498351441,0.000574013021959289,0.0010356975203107302,0.00023693359374636668,5327231061,1.71 %,89789503.0,36.0
118,Marshall Islands,MHL,1990,4.03,4.544574793693185e-05,4.244231147682896e-05,8.78880594137608e-05,1.7532560335850616e-05,5327231061,1.71 %,89789503.0,36.0
119,Mauritania,MRT,1990,2.78,0.0017436825798684838,0.001739627940647345,0.003483310520515829,0.0010397146165761178,5327231061,1.71 %,89789503.0,36.0
120,Mauritius,MUS,1990,3.9,0.0011246180110076514,0.0013805483403641688,0.00250516635137182,0.0008335099321121787,5327231061,1.71 %,89789503.0,36.0
121,Mexico,MEX,1990,2.99,0.07461568598178737,0.08128629958819802,0.15590198556998539,0.038647844939046466,5327231061,1.71 %,89789503.0,36.0
122,Micronesia (country),FSM,1990,4.02,0.00010585236374075123,9.993934820992364e-05,0.00020579171195067486,4.351228571574061e-05,5327231061,1.71 %,89789503.0,36.0
123,Middle East & North Africa (WB),,1990,5.37,0.3484459898106154,0.351970541268024,0.7004165310786394,0.1705135913195187,5327231061,1.71 %,89789503.0,36.0
124,Moldova,MDA,1990,4.34,0.004582549493435611,0.005791751783750909,0.010374301277186521,0.0031400928190375705,5327231061,1.71 %,89789503.0,36.0
125,Monaco,MCO,1990,5.97,3.728015506102712e-05,5.145262085713762e-05,8.873277591816474e-05,2.8832990016987736e-05,5327231061,1.71 %,89789503.0,36.0
126,Mongolia,MNG,1990,2.17,0.0020286711569764966,0.001999894481393136,0.004028565638369632,0.0012377349366862764,5327231061,1.71 %,89789503.0,36.0
127,Montenegro,MNE,1990,3.88,0.000592953443135813,0.0007130533585841773,0.00130600680171999,0.0003475914558232825,5327231061,1.71 %,89789503.0,36.0
128,Morocco,MAR,1990,4.79,0.03344444758635184,0.03703147052213059,0.07047591810848243,0.020690974117294814,5327231061,1.71 %,89789503.0,36.0
129,Mozambique,MOZ,1990,3.98,0.013397485332014585,0.015362765208205037,0.02876025054021962,0.008342851941484429,5327231061,1.71 %,89789503.0,36.0
130,Myanmar,MMR,1990,3.83,0.041921027536222344,0.0469498501446735,0.08887087768089585,0.01372908348868782,5327231061,1.71 %,89789503.0,36.0
131,Namibia,NAM,1990,3.47,0.00121346341579307,0.0012819417670834159,0.0024954051828764857,0.0007298726027607534,5327231061,1.71 %,89789503.0,36.0
132,Nauru,NRU,1990,4.08,9.479596327199746e-06,9.160481203313812e-06,1.864007753051356e-05,4.5614691237812636e-06,5327231061,1.71 %,89789503.0,36.0
133,Nepal,NPL,1990,2.98,0.0228433493134718,0.021982845996174446,0.044826195309646245,0.01240428643761431,5327231061,1.71 %,89789503.0,36.0
134,Netherlands,NLD,1990,7.02,0.019441751036148643,0.024256522482383837,0.043698273518532484,0.011575000088024152,5327231061,1.71 %,89789503.0,36.0
135,New Zealand,NZL,1990,7.62,0.005020018785327472,0.006006253461435883,0.011026272246763355,0.002436969572249609,5327231061,1.71 %,89789503.0,36.0
136,Nicaragua,NIC,1990,4.35,0.0038280674831798894,0.004214102925692489,0.008042170408872378,0.0016914978713741962,5327231061,1.71 %,89789503.0,36.0
137,Niger,NER,1990,2.84,0.006658355831357847,0.007034630105375112,0.01369298593673296,0.003992261600158139,5327231061,1.71 %,89789503.0,36.0
138,Nigeria,NGA,1990,2.98,0.0803857754800698,0.0808810233808629,0.1612667988609327,0.0521619762345803,5327231061,1.71 %,89789503.0,36.0
139,Niue,NIU,1990,4.13,2.290120300828453e-06,2.4027491680823116e-06,4.692869468910765e-06,1.220146061916799e-06,5327231061,1.71 %,89789503.0,36.0
140,North America (WB),,1990,5.55,0.366962138044194,0.42290682987140665,0.7898689679156006,0.21289804910153495,5327231061,1.71 %,89789503.0,36.0
141,North Korea,PRK,1990,3.78,0.018651941104530965,0.022944189692619757,0.04159613079715072,0.010703947200160688,5327231061,1.71 %,89789503.0,36.0
142,North Macedonia,MKD,1990,3.79,0.001944612479049367,0.0022486541062011578,0.0041932665852505244,0.0010424177093902105,5327231061,1.71 %,89789503.0,36.0
143,Northern Ireland,,1990,6.01,0.0020433129097194983,0.0025323474513357512,0.0045756603610552496,0.0013502136321171295,5327231061,1.71 %,89789503.0,36.0
144,Northern Mariana Islands,MNP,1990,4.06,4.615906409620628e-05,4.217951078656996e-05,8.833857488277624e-05,2.2000172070253665e-05,5327231061,1.71 %,89789503.0,36.0
145,Norway,NOR,1990,7.76,0.005558178284544283,0.006795087276204032,0.012353265560748313,0.0026306161380147425,5327231061,1.71 %,89789503.0,36.0
146,OECD Countries,,1990,4.91,1.2841189018589108,1.517067667510358,2.8011865693692686,0.7619488348677054,5327231061,1.71 %,89789503.0,36.0
147,Oman,OMN,1990,4.68,0.002624402778837905,0.0018580384230869012,0.004482441201924806,0.00115172402506008,5327231061,1.71 %,89789503.0,36.0
148,Pakistan,PAK,1990,3.39,0.11821561572772936,0.10377854717948379,0.22199416290721316,0.06031232667045001,5327231061,1.71 %,89789503.0,36.0
149,Palau,PLW,1990,4.11,1.5899441760669672e-05,1.5749269937664524e-05,3.16487116983342e-05,8.428393566163733e-06,5327231061,1.71 %,89789503.0,36.0
150,Palestine,PSE,1990,5.66,0.003022020223199776,0.0030714267529684688,0.006093446976168244,0.0017475307328329906,5327231061,1.71 %,89789503.0,36.0
151,Panama,PAN,1990,3.61,0.002448908232178518,0.0025114172535044095,0.004960325485682927,0.0011545022037856751,5327231061,1.71 %,89789503.0,36.0
152,Papua New Guinea,PNG,1990,3.95,0.004339853055981421,0.00406657788106781,0.008406430937049231,0.001957808827995944,5327231061,1.71 %,89789503.0,36.0
153,Paraguay,PRY,1990,6.38,0.004610406366603065,0.005601840742083029,0.010212247108686094,0.00219310930316713,5327231061,1.71 %,89789503.0,36.0
154,Peru,PER,1990,5.66,0.024896836364199898,0.026580318814521192,0.05147715517872109,0.008089399447207496,5327231061,1.71 %,89789503.0,36.0
155,Philippines,PHL,1990,4.57,0.06271886767706321,0.06942460271857917,0.13214347039564237,0.02873810019632636,5327231061,1.71 %,89789503.0,36.0
156,Poland,POL,1990,3.32,0.03508537509632906,0.03920500117387343,0.07429037627020249,0.017415764200508364,5327231061,1.71 %,89789503.0,36.0
157,Portugal,PRT,1990,8.43,0.014365905875619013,0.0203271453331091,0.034693051208728114,0.010445107291733447,5327231061,1.71 %,89789503.0,36.0
158,Puerto Rico,PRI,1990,4.54,0.004563815558515719,0.0046909547781674495,0.009254770336683168,0.0020368930642860284,5327231061,1.71 %,89789503.0,36.0
159,Qatar,QAT,1990,4.53,0.000742618436238315,0.0003730831227784058,0.001115701559016721,0.00035613247825670014,5327231061,1.71 %,89789503.0,36.0
160,Region of the Americas (WHO),,1990,5.22,0.8471270249638605,0.9771712809886698,1.8242983059525302,0.4542124177256519,5327231061,1.71 %,89789503.0,36.0
161,Romania,ROU,1990,3.43,0.022258035861831373,0.02645184681994029,0.04870988268177166,0.012970396667387956,5327231061,1.71 %,89789503.0,36.0
162,Russia,RUS,1990,3.37,0.1425566098605536,0.17503333144798242,0.317589941308536,0.10139954393091417,5327231061,1.71 %,89789503.0,36.0
163,Rwanda,RWA,1990,3.56,0.00693442795647493,0.00802893651697005,0.014963364473444977,0.005210342799508617,5327231061,1.71 %,89789503.0,36.0
164,Saint Kitts and Nevis,KNA,1990,4.47,5.3198368299572434e-05,5.526323086589317e-05,0.00010846159916546559,2.7518986565692726e-05,5327231061,1.71 %,89789503.0,36.0
165,Saint Lucia,LCA,1990,4.41,0.00017119587822586472,0.00016969415999581325,0.00034089003822167794,7.095618636993076e-05,5327231061,1.71 %,89789503.0,36.0
166,Saint Vincent and the Grenadines,VCT,1990,4.35,0.00014365812018229634,0.0001342160668108479,0.0002778741869931442,5.659600579506382e-05,5327231061,1.71 %,89789503.0,36.0
167,Samoa,WSM,1990,4.06,0.00017264128202228922,0.00015631009627047976,0.000328951378292769,7.290842006899764e-05,5327231061,1.71 %,89789503.0,36.0
168,San Marino,SMR,1990,5.95,3.0146993468282757e-05,3.709244028227069e-05,6.723943375055343e-05,2.0047938371186787e-05,5327231061,1.71 %,89789503.0,36.0
169,Sao Tome and Principe,STP,1990,3.11,0.00010230455442225468,0.00010802985517432581,0.0002103344095965805,5.9712071122420575e-05,5327231061,1.71 %,89789503.0,36.0
170,Saudi Arabia,SAU,1990,4.5,0.019783110361317215,0.015937866975881114,0.035720977337198326,0.009834076915403387,5327231061,1.71 %,89789503.0,36.0
171,Scotland,,1990,4.49,0.006013349080072876,0.007265406654378268,0.013278755734451144,0.004663717363769891,5327231061,1.71 %,89789503.0,36.0
172,Senegal,SEN,1990,2.92,0.006274047364809806,0.006608573872031642,0.012882621236841448,0.0038361392186664154,5327231061,1.71 %,89789503.0,36.0
173,Serbia,SRB,1990,3.49,0.009066079441077204,0.011185979980529327,0.02025205942160653,0.006082503204566745,5327231061,1.71 %,89789503.0,36.0
174,Seychelles,SYC,1990,3.82,6.785889252044966e-05,7.260807642298736e-05,0.000140466968943437,3.465214815843709e-05,5327231061,1.71 %,89789503.0,36.0
175,Sierra Leone,SLE,1990,3.61,0.003359080879934823,0.0037341725508459227,0.007093253430780745,0.002125776012027198,5327231061,1.71 %,89789503.0,36.0
176,Singapore,SGP,1990,2.99,0.003304324478971572,0.0032587661021673867,0.006563090581138958,0.0017525239459479118,5327231061,1.71 %,89789503.0,36.0
177,Slovakia,SVK,1990,3.67,0.004941422607462154,0.006190645688608325,0.011132068296070479,0.003078559914561213,5327231061,1.71 %,89789503.0,36.0
