CCN;CODCNH;Nombre Centro;Dirección;Teléfono;Cód. Municipio;Municipio;Cód. Provincia;Provincia;Cód. CCAA;CCAA;Código Postal;CAMAS;Cód. Clase de Centro;Clase de Centro;Cód. Dep. Funcional;Dependencia Funcional;Forma parte Complejo;CODIDCOM;Nombre del Complejo;ALTA;Email
0813000577;130065;HOSPITAL VIRGEN DE ALTAGRACIA;AVENIDA D. EMILIANO GARCIA ROLDAN 2;000000000;130533;Manzanares;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13200;118;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0813000578;130071;HOSPITAL SANTA BARBARA;CARRETERA MALAGON S/Nº;926421100;130718;Puertollano;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13500;141;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0813000931;130128;HOSPITAL GENERAL DE TOMELLOSO;CALLE VEREDA DE SOCUELLAMOS S/N;926525800;130821;Tomelloso;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13700;155;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0813000584;130087;HOSPITAL GENERAL DE VALDEPEÑAS;AVENIDA DE LOS ESTUDIANTES S/Nº;926320200;130874;Valdepeñas;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13300;103;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1215000183;150341;HOSPITAL PUBLICO VIRXE DA XUNQUEIRA;PASEO ALCALDE PEPE SANCHEZ 7;981706010;150238;Cee;15;A CORUÑA;12;GALICIA;15270;79;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0114000529;140116;HOSPITAL INFANTA  MARGARITA;AVENIDA GONGORA S/N;957021300;140137;Cabra;14;CÓRDOBA;01;ANDALUCÍA;14940;232;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0114000536;140082;HOSPITAL SAN JUAN DE DIOS DE CORDOBA;AVENIDA DEL BRILLANTE 106;957274600;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14012;193;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CORDOBA.HOSPITAL@SJD.ES
0114003668;140241;HOSPITAL QUIRONSALUD CORDOBA;AVENIDA DEL AEROPUERTO, S/N S/N;957410000;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14004;115;C11;Hospitales Generales;20;PRIVADOS;N;;;N;INFO.COR@QUIRONSALUD.ES
0114000537;140076;HOSPITAL CRUZ ROJA DE CORDOBA;PASEO DE LA VICTORIA S/N;957420666;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14004;138;C11;Hospitales Generales;20;PRIVADOS;N;;;N;LUCIARETENAGA@HCRC.ES
0114000533;140044;HOSPITAL MATERNO - INFANTIL DEL H.U. REINA SOFIA;AVENIDA MENENDEZ PIDAL S/N;957010380;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14004;194;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;140023;Hospital Universitario Reina Sofia;N;
0114000532;140039;HOSPITAL LOS MORALES;CARRETERA LOS MOLARES S/N;957012042;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14012;19;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;140023;Hospital Universitario Reina Sofia;N;
0114000531;140060;HOSPITAL PROVINCIAL;AVENIDA MENENDEZ PIDAL S/N;957011604;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14004;389;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;140023;Hospital Universitario Reina Sofia;N;
0114000530;140230;HOSPITAL UNIVERSITARIO REINA SOFIA;AVENIDA MENENDEZ PIDAL S/N;957010380;140214;Córdoba;14;CÓRDOBA;01;ANDALUCÍA;14004;607;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;140023;Hospital Universitario Reina Sofia;N;GERENCIA.HRS.SSPA@JUNTADEANDALUCIA.ES
0114003688;140252;HOSPITAL CENTRO DE ANDALUCIA;CALLE PONTEVEDRA 1;000000000;140386;Lucena;14;CÓRDOBA;01;ANDALUCÍA;14900;196;C11;Hospitales Generales;20;PRIVADOS;N;;;S;
0114000873;140195;HOSPITAL DE MONTILLA;CARRETERA CTRA. MONTORO-PUENTE GENIL, KM. 65,350 S/N;957022600;140425;Montilla;14;CÓRDOBA;01;ANDALUCÍA;14550;92;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0114001599;140229;HOSPITAL DE ALTA RESOLUCION VALLE DEL GUADIATO;CALLE PARAJE CERRO DEL CAMELLO S/N;957579100;140522;Peñarroya-Pueblonuevo;14;CÓRDOBA;01;ANDALUCÍA;14200;17;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0114000535;140121;HOSPITAL  VALLE DE LOS PEDROCHES;CALLE JUAN DEL REY CALERO S/N;957026306;140543;Pozoblanco;14;CÓRDOBA;01;ANDALUCÍA;14400;135;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0114001301;140218;HOSPITAL DE ALTA RESOLUCION  DE PUENTE GENIL;CALLE BURGOS S/N;957615000;140569;Puente Genil;14;CÓRDOBA;01;ANDALUCÍA;14500;24;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1215000174;150063;HOSPITAL QUIRONSALUD A CORUÑA;CALLE LONDRES 2;981219800;150308;Coruña, A;15;A CORUÑA;12;GALICIA;15009;127;C11;Hospitales Generales;20;PRIVADOS;N;;;N;INFO.ACORUNA@QUIRONSALUD.ES
1215000175;150079;HOSPITAL SAN RAFAEL;LUGAR JUBIAS DE ARRIBA 82;981179000;150308;Coruña, A;15;A CORUÑA;12;GALICIA;15006;120;C11;Hospitales Generales;20;PRIVADOS;N;;;N;ADE@IMQSANRAFAEL.ES
1215000176;150354;HM MODELO-BELEN;CALLE VIRREY OSORIO 30;981147300;150308;Coruña, A;15;A CORUÑA;12;GALICIA;15011;146;C11;Hospitales Generales;20;PRIVADOS;N;;;N;RSILVA@HMHOSPITALES.COM
1215000173;150050;CENTRO ONCOLOXICO DE GALICIA;CALLE DOCTOR CAMILO VEIRAS 1;981287499;150308;Coruña, A;15;A CORUÑA;12;GALICIA;15009;56;C12;Hospitales especializados;20;PRIVADOS;N;;;N;CONTACTO@COG.ES
1215000172;150011;COMPLEXO HOSPITALARIO UNIVERSITARIO A CORUÑA;LUGAR JUBIAS DE ARRIBA 84;981178000;150308;Coruña, A;15;A CORUÑA;12;GALICIA;15006;1345;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1215000178;150177;HOSPITAL RIBERA JUAN CARDONA;CALLE PARDO BAZAN S/N;981312500;150367;Ferrol;15;A CORUÑA;12;GALICIA;15406;150;C11;Hospitales Generales;20;PRIVADOS;N;;;N;INFO@HJCARDONA.ORG
1215000177;150130;COMPLEXO HOSPITALARIO UNIVERSITARIO DE FERROL;AVENIDA RESIDENCIA S/N;981334000;150367;Ferrol;15;A CORUÑA;12;GALICIA;15405;467;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1215000169;150308;HESTIA LA ROBLEDA;LUGAR SANTISO S/N;981585811;150660;Pino, O;15;A CORUÑA;12;GALICIA;15821;96;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;PRIVADOS;N;;;N;
1215000182;150336;HOSPITAL PUBLICO DA BARBANZA;LUGAR SALMON S/N;981835985;150737;Ribeira;15;A CORUÑA;12;GALICIA;15993;82;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1215000181;150365;HOSPITAL HM ROSALEDA - HM LA ESPERANZA;CALLE SANTIAGO LEON DE CARACAS (DE) 1;"981551200;981551225";150780;Santiago de Compostela;15;A CORUÑA;12;GALICIA;15701;119;C11;Hospitales Generales;20;PRIVADOS;N;;;N;SECRETARIA.DIRECCION.HMGR@HMHOSPITALES.COM
1215000179;150200;COMPLEXO HOSPITALARIO UNIVERSITARIO DE SANTIAGO;CALLE CHOUPANA (DA) S/N;981950000;150780;Santiago de Compostela;15;A CORUÑA;12;GALICIA;15706;1511;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0816000342;160053;HOSPITAL RECOLETAS CUENCA, S.L.U.;AVENIDA DE SAN JULIAN 1;969232500;160783;Cuenca;16;CUENCA;08;CASTILLA-LA MANCHA;16003;30;C11;Hospitales Generales;20;PRIVADOS;N;;;N;OLGA.BARRIOS.AJ@GRUPORECOLETAS.COM
0816000170;160014;HOSPITAL VIRGEN DE LA LUZ;CALLE HERMANDAD DONANTES DE SANGRE 1;969179900;160783;Cuenca;16;CUENCA;08;CASTILLA-LA MANCHA;16002;388;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0917000807;170097;CLINICA SALUS INFIRMORUM;PASEO MOSSEN LLUIS CONSTANS 130;972570208;170157;Banyoles;17;GIRONA;09;CATALUÑA;17820;100;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;SI.DIREC@TELELINE.ES
0917000823;170237;HOSPITAL COMARCAL DE BLANES;CARRETERA ACCES CALA SANT FRANCESC 5;972353264;170237;Blanes;17;GIRONA;09;CATALUÑA;17300;121;C11;Hospitales Generales;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;CSSELVA@CONECTA.ES
0917000808;170101;HOSPITAL DE SANT JAUME;CALLE JAUME ARCELOS 1;972331550;170237;Blanes;17;GIRONA;09;CATALUÑA;17300;23;C13;Hospitales de media y larga estancia;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;SALUT@SALUTMS.CAT
0917000809;170118;HOSPITAL DE CAMPDEVANOL;CARRETERA DE GOMBREN 20;972730028;170366;Campdevànol;17;GIRONA;09;CATALUÑA;17530;80;C11;Hospitales Generales;20;PRIVADOS;N;;;N;GERENCIA@HOSCAMP.COM
0917000810;170123;HOSPITAL DE FIGUERES;RONDA RECTOR AROLAS S/N;972501400;170669;Figueres;17;GIRONA;09;CATALUÑA;17600;168;C11;Hospitales Generales;20;PRIVADOS;N;;;N;DIRECCIO@HOSPFIG.ES
0917000827;170288;CENTRE SOCIOSANITARI BERNAT JAUME;RONDA RECTOR AROLAS S/N;972501400;170669;Figueres;17;GIRONA;09;CATALUÑA;17600;121;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;HOSPITAL@HOSPITALDEFIGUERES.COM
0917000811;170139;CLINICA SANTA CREU;CALLE PERE III, 41;972503650;170669;Figueres;17;GIRONA;09;CATALUÑA;17600;35;C11;Hospitales Generales;20;PRIVADOS;N;;;N;ADMINISTRACIO@CLINICASANTACREU.COM
0917000815;170062;CLINICA QUIRURGICA ONYAR;CALLE HEROINES DE SANTA BARBARA 6;972204900;170792;Girona;17;GIRONA;09;CATALUÑA;17004;38;C11;Hospitales Generales;20;PRIVADOS;N;;;N;DOCUMENTALISTA@GIROCLINIC.COM
0917000814;170059;CLINICA GIRONA;CALLE JOAN  MARAGALL 26;972204500;170792;Girona;17;GIRONA;09;CATALUÑA;17002;123;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CESPIGOL@ARRAKIS.ES
0917000825;170255;HOSPITAL SOCIOSANITARI MUTUAM GIRONA;AVENIDA FRANÇA 64;972171819;170792;Girona;17;GIRONA;09;CATALUÑA;17007;104;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;MUTUAM@MUTUAM.COM
0917000824;170242;RESIDENCIA GERIATRICA MARIA GAY;CALLE PORTAL NOU 12;972205045;170792;Girona;17;GIRONA;09;CATALUÑA;17004;24;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;INFO.MGAY@IRSJG.ORG
0917000812;170031;CLINICA BOFILL;RONDA SANT ANTONI MARIA CLARET 20;972204350;170792;Girona;17;GIRONA;09;CATALUÑA;17002;47;C11;Hospitales Generales;20;PRIVADOS;N;;;N;ADMINISTRACIO@CLINICABOFILL.NET
0917000828;170299;INSTITUT CATALA D'ONCOLOGIA GIRONA - HOSPITAL JOSEP TRUETA;AVENIDA FRANÇA S/N;972940200;170792;Girona;17;GIRONA;09;CATALUÑA;17007;26;C12;Hospitales especializados;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;CCALLE@ICONCOLOGIA.NET
0917000822;170221;RESIDENCIA DE GENT GRAN PUIG D'EN ROCA;CALLE ANTONI VARES I MARTINELL 37;972209250;170792;Girona;17;GIRONA;09;CATALUÑA;17007;55;C13;Hospitales de media y larga estancia;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;RGG_PUIGROCA.BENESTAR@GENCAT.CAT
0917000813;170010;HOSPITAL UNIVERSITARI DE GIRONA DR. JOSEP TRUETA;AVENIDA FRANÇA S/N;972940200;170792;Girona;17;GIRONA;09;CATALUÑA;17007;431;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;GERENCIA@HTRUETA.SCS.ES
0917000818;170160;HOSPITAL SOCIOSANITARI DE LLORET DE MAR;CALLE VALL DE VENECIA, 59;972364736;170950;Lloret de Mar;17;GIRONA;09;CATALUÑA;17310;63;C13;Hospitales de media y larga estancia;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;SALUT@SALUTMS.ORG
0917000819;170176;HOSPITAL D'OLOT I COMARCAL DE LA GARROTXA;AVENIDA PAISOS  CATALANS 86;972261800;171143;Olot;17;GIRONA;09;CATALUÑA;17800;137;C11;Hospitales Generales;20;PRIVADOS;N;;;N;DIRECCIO@HOSPIOLOT.COM
0917000820;170195;HOSPITAL DE PALAMOS;CALLE HOSPITAL 36;972600160;171181;Palamós;17;GIRONA;09;CATALUÑA;17230;136;C11;Hospitales Generales;20;PRIVADOS;N;;;N;DIRECCIO@HOSPPAL.ES
0917000830;170312;CENTRE PALAMOS GENT GRAN;CALLE PROVENÇA 36;972600160;171181;Palamós;17;GIRONA;09;CATALUÑA;17230;100;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;NCOMES@SSIBE.CAT
0917000826;170277;CENTRE SOCIOSANITARI DE PUIGCERDA;CAMINO ANTIC DE LLIVIA S/N;972880150;171411;Puigcerdà;17;GIRONA;09;CATALUÑA;17520;52;C13;Hospitales de media y larga estancia;20;PRIVADOS;N;;;N;JCATALA@HOSPITALPUIGCERDA.COM
0917001139;170334;HOSPITAL DE CERDANYA / HOPITAL DE CERDAGNE;CAMINO D'UR 31;972114090;171411;Puigcerdà;17;GIRONA;09;CATALUÑA;17520;66;C11;Hospitales Generales;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;DIR@HCERDANYA.EU
0917000816;170301;HOSPITAL SANTA CATERINA-IAS;AVENIDA DOCTOR CASTANY (P. H. MARTI I JULIA) S/N;972182600;171557;Salt;17;GIRONA;09;CATALUÑA;17190;178;C11;Hospitales Generales;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;GERENCIA@IAS.SCS.ES
0917000829;170323;CENTRE SOCIOSANITARI PARC HOSPITALARI MARTI I JULIA;CALLE DR. CASTANY S/N;972182512;171557;Salt;17;GIRONA;09;CATALUÑA;17190;120;C13;Hospitales de media y larga estancia;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;ATENCIOUSUARI@IAS.SCS.ES
0917000817;170216;HOSPITAL PSIQUIATRIC;CALLE DOCTOR CASTANY, S/N;972182512;171557;Salt;17;GIRONA;09;CATALUÑA;17190;593;C14;Hospitales de salud mental y tratamiento de toxicomanías;8;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;N;;;N;ATENCIOUSUARI@IAS.SCS.ES
0118000554;180093;HOSPITAL DE BAZA;CARRETERA MURCIA, KM. 1,6 S/N;958031303;180233;Baza;18;GRANADA;01;ANDALUCÍA;18800;117;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0118000553;180074;HOSPITAL DE LA INMACULADA CONCEPCION;CALLE DOCTOR ALEJANDRO OTERO 8;958187712;180877;Granada;18;GRANADA;01;ANDALUCÍA;18004;95;C11;Hospitales Generales;20;PRIVADOS;N;;;N;INFORMACION@HOSPITAL-INMACULADA.ES
0118004282;180146;HOSPITAL VITHAS LA SALUD;AVENIDA SANTA MARIA DE LA ALHAMBRA S/N;958001450;180877;Granada;18;GRANADA;01;ANDALUCÍA;18008;77;C11;Hospitales Generales;20;PRIVADOS;N;;;N;TORRES@VITHAS.ES
0118000563;180055;HOSPITAL SAN RAFAEL;CALLE SAN JUAN DE DIOS 19-23;958275700;180877;Granada;18;GRANADA;01;ANDALUCÍA;18001;166;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CENTROSANRAFAEL@SJD.ES
0118004562;180150;HOSPITAL UNIVERSITARIO CLINICO SAN CECILIO;AVENIDA DE LA INVESTIGACION S/N;958021702;180877;Granada;18;GRANADA;01;ANDALUCÍA;18016;543;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0118004856;180042;HOSPITAL  DE NEUROTRAUMATOLOGIA Y REHABILITACION DEL H.U. VIRGEN DE LAS NIEVES;CARRETERA DE JAÃ©N S/N;958020000;180877;Granada;18;GRANADA;01;ANDALUCÍA;18013;241;C12;Hospitales especializados;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;180114;Hospital Universitario Virgen De La Nieves;N;
0118000560;180166;HOSPITAL MATERNO-INFANTIL DEL H.U. VIRGEN DE LAS NIEVES;AVENIDA DE LAS FUERZAS ARMADAS 2;000000000;180877;Granada;18;GRANADA;01;ANDALUCÍA;18014;230;C12;Hospitales especializados;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;S;180114;Hospital Universitario Virgen De La Nieves;N;JLSALCE@HVN.SAS.JUNTA-ANDALUCIA.ES
