,Region,SubRegion,Country,Code,Year,DrugGroup,Drug Type,Trends overall,Group Age 0-17,Group Age 18-24,Group Age 25+
14,Africa,East Africa,Kenya,KEN,2020,Amphetamine-type stimulants,Khat,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
15,Africa,East Africa,Kenya,KEN,2020,"Opioids, including opiates and synthetic opioids",Non-medical use of pharmaceutical opioids,Stable situation (+-5%),Stable situation (+-5%),,
16,Africa,East Africa,Mauritius,MUS,2020,"Opioids, including opiates and synthetic opioids",Heroin,Stable situation (+-5%),,,
17,Africa,Eastern Africa,Madagascar,MDG,2018,Cannabis-type,,Small increase (5-10%),,,
18,Africa,Eastern Africa,Madagascar,MDG,2018,Cannabis-type,Marijuana (herb),Small increase (5-10%),,,
19,Africa,Eastern Africa,Madagascar,MDG,2018,Cannabis-type,Hashish (resin),Small increase (5-10%),,,
20,Africa,Eastern Africa,Madagascar,MDG,2018,Opioids,,Large increase (>10%),,,
21,Africa,Eastern Africa,Madagascar,MDG,2018,Opioids,Opium,Large increase (>10%),,,
22,Africa,Eastern Africa,Madagascar,MDG,2018,Opioids,Heroin,Large increase (>10%),,,
23,Africa,Eastern Africa,Madagascar,MDG,2018,Opioids,Pharmaceutical opioids,Large increase (>10%),,,
24,Africa,Eastern Africa,Madagascar,MDG,2018,Cocaine-type,,Large increase (>10%),,,
25,Africa,Eastern Africa,Madagascar,MDG,2018,Cocaine-type,Cocaine salts,Small increase (5-10%),,,
26,Africa,Eastern Africa,Madagascar,MDG,2018,Cocaine-type,Crack,Small increase (5-10%),,,
27,Africa,Eastern Africa,Madagascar,MDG,2018,ATS,,Not known,,,
28,Africa,Eastern Africa,Madagascar,MDG,2018,ATS,Amphetamine,Not known,,,
29,Africa,Eastern Africa,Madagascar,MDG,2018,ATS,Methamphetamine,Not known,,,
30,Africa,Eastern Africa,Madagascar,MDG,2018,ATS,Ecstasy-type substances,Not known,,,
31,Africa,Eastern Africa,Madagascar,MDG,2018,ATS,Prescription stimulants,Not known,,,
32,Africa,Eastern Africa,Madagascar,MDG,2018,Sedatives and Tranquillizers,,Small increase (5-10%),,,
33,Africa,Eastern Africa,Madagascar,MDG,2018,Sedatives and Tranquillizers,Benzodiazepines,Small increase (5-10%),,,
34,Africa,Eastern Africa,Madagascar,MDG,2018,Sedatives and Tranquillizers,Barbiturates,Not known,,,
35,Africa,Eastern Africa,Madagascar,MDG,2018,Hallucinogens,,Not known,,,
36,Africa,Eastern Africa,Madagascar,MDG,2018,Hallucinogens,LSD,Not known,,,
37,Africa,Eastern Africa,Madagascar,MDG,2018,Solvents and Inhallants,Solvents and inhalants,Not known,,,
38,Africa,North Africa,Algeria,DZA,2020,Cannabis-type drugs,Cannabis resin (hashish),Large increase (>10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
39,Africa,North Africa,Algeria,DZA,2020,Cannabis-type drugs,Cannabis herb (marijuana),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
40,Africa,North Africa,Algeria,DZA,2020,Cocaine-type drugs,Cocaine hydrochloride,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
41,Africa,North Africa,Algeria,DZA,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Barbiturates,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
42,Africa,North Africa,Algeria,DZA,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Benzodiazepines,Large increase (>10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
43,Africa,North Africa,Algeria,DZA,2020,“Ecstasy”-type substances,MDMA,Large increase (>10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
44,Africa,North Africa,Egypt,EGY,2020,Cannabis-type drugs,Cannabis herb (marijuana),Large increase (>10%),,,
45,Africa,North Africa,Egypt,EGY,2020,"Opioids, including opiates and synthetic opioids","Opioids, including opiates and synthetic opioids",Small increase (5-10%),,,
46,Africa,North Africa,Egypt,EGY,2020,"Opioids, including opiates and synthetic opioids",Opium,Small increase (5-10%),,,
47,Africa,North Africa,Egypt,EGY,2020,"Opioids, including opiates and synthetic opioids",Heroin,Small increase (5-10%),,,
48,Africa,North Africa,Egypt,EGY,2020,"Opioids, including opiates and synthetic opioids",Tramadol,Small increase (5-10%),,,
49,Africa,North Africa,Egypt,EGY,2020,Cocaine-type drugs,Cocaine-type drugs,Large decrease (>10%),,,
50,Africa,North Africa,Egypt,EGY,2020,Amphetamine-type stimulants,Amphetamines (amphetamine/methamphetamine),Small decrease (5-10%),,,
51,Africa,North Africa,Egypt,EGY,2020,Amphetamine-type stimulants,Amphetamine,Large increase (>10%),,,
52,Africa,North Africa,Egypt,EGY,2020,Amphetamine-type stimulants,Methamphetamine,Large decrease (>10%),,,
53,Africa,North Africa,Egypt,EGY,2020,“Ecstasy”-type substances,MDMA,Small decrease (5-10%),,,
54,Africa,North Africa,Egypt,EGY,2020,Hallucinogens,LSD,Large increase (>10%),,,
55,Africa,North Africa,Egypt,EGY,2020,New psychoactive substances,"Synthetic cannabinoid receptor agonists (""synthetic cannabinoids"")",Small increase (5-10%),,,
56,Africa,North Africa,Egypt,EGY,2020,Cannabis-type drugs,Cannabis resin (hashish),Large increase (>10%),,,
57,Africa,North Africa,Egypt,EGY,2020,"Opioids, including opiates and synthetic opioids",Opiates,Small increase (5-10%),,,
58,Africa,North Africa,Morocco,MAR,2020,"Opioids, including opiates and synthetic opioids",Heroin,Stable situation (+-5%),,,
59,Africa,Northern Africa,Sudan,SDN,2017,Cannabis-type,,Stable situation (+-5%),,,
60,Africa,Northern Africa,Sudan,SDN,2017,Opioids,,Small increase (5-10%),,,
61,Africa,Northern Africa,Sudan,SDN,2017,Opioids,Heroin,Stable situation (+-5%),,,
62,Africa,Northern Africa,Sudan,SDN,2017,Opioids,Pharmaceutical opioids,Small increase (5-10%),,,
63,Africa,Northern Africa,Sudan,SDN,2017,Cocaine-type,,Stable situation (+-5%),,,
64,Africa,Northern Africa,Sudan,SDN,2017,ATS,Amphetamine,Small decrease (5-10%),,,
65,Africa,Northern Africa,Sudan,SDN,2017,Sedatives and Tranquillizers,,Stable situation (+-5%),,,
66,Africa,Northern Africa,Sudan,SDN,2017,Solvents and Inhallants,Solvents and inhalants,Stable situation (+-5%),,,
67,Africa,Northern Africa,Tunisia,TUN,2019,Cannabis-type,,Stable situation (+-5%),,,
68,Africa,Northern Africa,Tunisia,TUN,2019,Cannabis-type,Other types of cannabis,Stable situation (+-5%),,,
69,Africa,Northern Africa,Tunisia,TUN,2019,Opioids,,Stable situation (+-5%),,,
70,Africa,Northern Africa,Tunisia,TUN,2019,Opioids,Heroin,Stable situation (+-5%),,,
71,Africa,Northern Africa,Tunisia,TUN,2019,Opioids,Pharmaceutical opioids,Stable situation (+-5%),,,
72,Africa,Northern Africa,Tunisia,TUN,2019,Cocaine-type,,Stable situation (+-5%),,,
73,Africa,Northern Africa,Tunisia,TUN,2019,Cocaine-type,Cocaine salts,Stable situation (+-5%),,,
74,Africa,Northern Africa,Tunisia,TUN,2019,ATS,,Stable situation (+-5%),,,
75,Africa,Northern Africa,Tunisia,TUN,2019,ATS,Ecstasy-type substances,Stable situation (+-5%),,,
76,Africa,Northern Africa,Tunisia,TUN,2019,Sedatives and Tranquillizers,,Stable situation (+-5%),,,
77,Africa,Northern Africa,Tunisia,TUN,2019,Sedatives and Tranquillizers,Benzodiazepines,Stable situation (+-5%),,,
78,Africa,Southern Africa,South Africa,ZAF,2020,Any drug,Any drug,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
79,Africa,Southern Africa,South Africa,ZAF,2020,Cannabis-type drugs,Cannabis-type drugs,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
80,Africa,Southern Africa,South Africa,ZAF,2020,Cannabis-type drugs,Cannabis herb (marijuana),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
81,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids","Opioids, including opiates and synthetic opioids",Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
82,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids",Opiates,Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%)
83,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids",Heroin,Small increase (5-10%),Stable situation (+-5%),Small increase (5-10%),Small increase (5-10%)
84,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids",Non-medical use of pharmaceutical opioids,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
85,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids",Codeine,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
86,Africa,Southern Africa,South Africa,ZAF,2020,"Opioids, including opiates and synthetic opioids",Tramadol,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
87,Africa,Southern Africa,South Africa,ZAF,2020,Cocaine-type drugs,Cocaine-type drugs,Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Stable situation (+-5%)
88,Africa,Southern Africa,South Africa,ZAF,2020,Cocaine-type drugs,"“Crack” cocaine, freebase cocaine",Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Stable situation (+-5%)
89,Africa,Southern Africa,South Africa,ZAF,2020,Amphetamine-type stimulants,Amphetamine-type stimulants,Small decrease (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
90,Africa,Southern Africa,South Africa,ZAF,2020,Amphetamine-type stimulants,Methamphetamine,Stable situation (+-5%),Small increase (5-10%),Small increase (5-10%),Stable situation (+-5%)
91,Africa,Southern Africa,South Africa,ZAF,2020,Amphetamine-type stimulants,Other amphetamine-type stimulants,Small increase (5-10%),Stable situation (+-5%),Small increase (5-10%),Small increase (5-10%)
92,Africa,Southern Africa,South Africa,ZAF,2020,“Ecstasy”-type substances,“Ecstasy”-type substances,Small increase (5-10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
93,Africa,Southern Africa,South Africa,ZAF,2020,“Ecstasy”-type substances,MDMA,Small increase (5-10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
94,Africa,Southern Africa,South Africa,ZAF,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Non-medical use of pharmaceutical sedatives and tranquillizers,Small decrease (5-10%),Small increase (5-10%),Small decrease (5-10%),Small decrease (5-10%)
95,Africa,Southern Africa,South Africa,ZAF,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Benzodiazepines,Small decrease (5-10%),Small decrease (5-10%),Stable situation (+-5%),Small decrease (5-10%)
96,Africa,Southern Africa,South Africa,ZAF,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Other sedatives and tranquillizers,Small decrease (5-10%),Small increase (5-10%),Small decrease (5-10%),Small decrease (5-10%)
97,Africa,Southern Africa,South Africa,ZAF,2020,Solvents and inhalants,Solvents and inhalants,Small increase (5-10%),Small decrease (5-10%),Small decrease (5-10%),Stable situation (+-5%)
98,Africa,Southern Africa,South Africa,ZAF,2020,New psychoactive substances,New psychoactive substances,Large decrease (>10%),Large decrease (>10%),Large decrease (>10%),Large decrease (>10%)
99,Africa,Southern Africa,South Africa,ZAF,2020,New psychoactive substances,Other new psychoactive substances,Large decrease (>10%),Large decrease (>10%),Large decrease (>10%),Large decrease (>10%)
100,Africa,Southern Africa,Zimbabwe,ZWE,2020,Any drug,Any drug,Large increase (>10%),Stable situation (+-5%),Small increase (5-10%),Small increase (5-10%)
101,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cannabis-type drugs,Cannabis-type drugs,Stable situation (+-5%),Stable situation (+-5%),Large increase (>10%),Large increase (>10%)
102,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cannabis-type drugs,Cannabis herb (marijuana),Stable situation (+-5%),Large increase (>10%),Large increase (>10%),Large increase (>10%)
103,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cannabis-type drugs,Cannabis resin (hashish),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
104,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cannabis-type drugs,Other types of cannabis products excluding synthetic cannabinoids,Small increase (5-10%),Stable situation (+-5%),Small increase (5-10%),Small increase (5-10%)
105,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Heroin,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
106,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Other opiates,Small increase (5-10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
107,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Non-medical use of pharmaceutical opioids,Large increase (>10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
108,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Codeine,Large increase (>10%),Large increase (>10%),Large increase (>10%),Large increase (>10%)
109,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cocaine-type drugs,Cocaine-type drugs,Large increase (>10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
110,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cocaine-type drugs,Cocaine hydrochloride,Large increase (>10%),Large increase (>10%),Large increase (>10%),Large increase (>10%)
111,Africa,Southern Africa,Zimbabwe,ZWE,2020,Cocaine-type drugs,"“Crack” cocaine, freebase cocaine",Large increase (>10%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
112,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Amphetamines (amphetamine/methamphetamine),Large increase (>10%),Large increase (>10%),Large increase (>10%),Large increase (>10%)
113,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Amphetamine,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
114,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Methamphetamine,Large increase (>10%),Large increase (>10%),Large increase (>10%),Large increase (>10%)
115,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Non-medical use of pharmaceutical products containing amphetamine-type stimulants,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
116,Africa,Southern Africa,Zimbabwe,ZWE,2020,“Ecstasy”-type substances,MDMA,Large increase (>10%),Large increase (>10%),Large increase (>10%),Small increase (5-10%)
117,Africa,Southern Africa,Zimbabwe,ZWE,2020,“Ecstasy”-type substances,Other “ecstasy”-type substances,Large increase (>10%),Large increase (>10%),Large increase (>10%),Small increase (5-10%)
118,Africa,Southern Africa,Zimbabwe,ZWE,2020,New psychoactive substances,New psychoactive substances,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
119,Africa,Southern Africa,Zimbabwe,ZWE,2020,New psychoactive substances,Other new psychoactive substances,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
120,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids","Opioids, including opiates and synthetic opioids",Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
121,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Opiates,Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
122,Africa,Southern Africa,Zimbabwe,ZWE,2020,"Opioids, including opiates and synthetic opioids",Tramadol,Small increase (5-10%),,Stable situation (+-5%),Stable situation (+-5%)
123,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Amphetamine-type stimulants,Large increase (>10%),,Stable situation (+-5%),Stable situation (+-5%)
124,Africa,Southern Africa,Zimbabwe,ZWE,2020,Amphetamine-type stimulants,Other amphetamine-type stimulants,Small increase (5-10%),,Stable situation (+-5%),Stable situation (+-5%)
125,Africa,Southern Africa,Zimbabwe,ZWE,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Non-medical use of pharmaceutical sedatives and tranquillizers,Small increase (5-10%),,Stable situation (+-5%),Stable situation (+-5%)
126,Africa,Southern Africa,Zimbabwe,ZWE,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Benzodiazepines,Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
127,Africa,Southern Africa,Zimbabwe,ZWE,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Barbiturates,Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
128,Africa,Southern Africa,Zimbabwe,ZWE,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Other sedatives and tranquillizers,Small increase (5-10%),,Stable situation (+-5%),Stable situation (+-5%)
129,Africa,Southern Africa,Zimbabwe,ZWE,2020,Hallucinogens,Hallucinogens,Large increase (>10%),,Small increase (5-10%),Stable situation (+-5%)
130,Africa,Southern Africa,Zimbabwe,ZWE,2020,Hallucinogens,LSD,Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
131,Africa,Southern Africa,Zimbabwe,ZWE,2020,Solvents and inhalants,Solvents and inhalants,Small increase (5-10%),,Small increase (5-10%),Stable situation (+-5%)
132,Africa,Southern Africa,Zimbabwe,ZWE,2020,New psychoactive substances,Ketamine,Stable situation (+-5%),,Stable situation (+-5%),Stable situation (+-5%)
133,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Cannabis-type,,Small increase (5-10%),,,
134,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Opioids,,Small increase (5-10%),,,
135,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Cocaine-type,,Small increase (5-10%),,,
136,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,ATS,,Stable situation (+-5%),,,
137,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Sedatives and Tranquillizers,,Not known,,,
138,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Hallucinogens,,Not known,,,
139,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Solvents and Inhallants,Solvents and inhalants,Small increase (5-10%),,,
140,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Substances not under international control,Other substances not under int. control,Small increase (5-10%),,,
141,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Sedatives and Tranquillizers,Benzodiazepines,Stable situation (+-5%),,,
142,Africa,Southern and South-Eastern Africa,Angola,AGO,2018,Opioids,Pharmaceutical opioids,Small increase (5-10%),,,
143,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cannabis-type,,Large increase (>10%),,,
144,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cannabis-type,Marijuana (herb),Large increase (>10%),,,
145,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cannabis-type,Hashish (resin),Not known,,,
146,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Opioids,,Large increase (>10%),,,
147,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Opioids,Opium,Large increase (>10%),,,
148,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Opioids,Heroin,Small increase (5-10%),,,
149,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Opioids,Pharmaceutical opioids,Not known,,,
150,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cocaine-type,,Large increase (>10%),,,
151,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cocaine-type,Cocaine salts,Large increase (>10%),,,
152,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Cocaine-type,Crack,Not known,,,
153,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,ATS,Amphetamine,Not known,,,
154,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,ATS,Methamphetamine,Not known,,,
155,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,ATS,Ecstasy-type substances,Not known,,,
156,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,ATS,Prescription stimulants,Not known,,,
157,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Sedatives and Tranquillizers,,Stable situation (+-5%),,,
158,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Sedatives and Tranquillizers,Benzodiazepines,Stable situation (+-5%),,,
159,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Sedatives and Tranquillizers,Barbiturates,Not known,,,
160,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Hallucinogens,,Not known,,,
161,Africa,Southern and South-Eastern Africa,Mozambique,MOZ,2019,Hallucinogens,LSD,Not known,,,
162,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Cannabis-type,,Small decrease (5-10%),,,
163,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Cannabis-type,Marijuana (herb),Small decrease (5-10%),,,
164,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Opioids,,Stable situation (+-5%),,,
165,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Opioids,Heroin,Stable situation (+-5%),,,
166,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Opioids,Pharmaceutical opioids,Stable situation (+-5%),,,
167,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Cocaine-type,,Small increase (5-10%),,,
168,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Cocaine-type,Cocaine salts,Small increase (5-10%),,,
169,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,ATS,,Stable situation (+-5%),,,
170,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,ATS,Methamphetamine,Stable situation (+-5%),,,
171,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,ATS,Prescription stimulants,Stable situation (+-5%),,,
172,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Sedatives and Tranquillizers,,Stable situation (+-5%),,,
173,Africa,Southern and South-Eastern Africa,Zambia,ZMB,2019,Sedatives and Tranquillizers,Benzodiazepines,Small increase (5-10%),,,
174,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cannabis-type,,Small increase (5-10%),,,
175,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cannabis-type,Marijuana (herb),Small increase (5-10%),,,
176,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cannabis-type,Hashish (resin),Small increase (5-10%),,,
177,Africa,West and Central Africa,Burkina Faso,BFA,2018,Opioids,,Small increase (5-10%),,,
178,Africa,West and Central Africa,Burkina Faso,BFA,2018,Opioids,Opium,Not known,,,
179,Africa,West and Central Africa,Burkina Faso,BFA,2018,Opioids,Heroin,Small increase (5-10%),,,
180,Africa,West and Central Africa,Burkina Faso,BFA,2018,Opioids,Pharmaceutical opioids,Large decrease (>10%),,,
181,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cocaine-type,,Small increase (5-10%),,,
182,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cocaine-type,Cocaine salts,Small increase (5-10%),,,
183,Africa,West and Central Africa,Burkina Faso,BFA,2018,Cocaine-type,Crack,Small increase (5-10%),,,
184,Africa,West and Central Africa,Burkina Faso,BFA,2018,ATS,,Small increase (5-10%),,,
185,Africa,West and Central Africa,Burkina Faso,BFA,2018,ATS,Amphetamine,Stable situation (+-5%),,,
186,Africa,West and Central Africa,Burkina Faso,BFA,2018,ATS,Methamphetamine,Stable situation (+-5%),,,
187,Africa,West and Central Africa,Burkina Faso,BFA,2018,Sedatives and Tranquillizers,,Stable situation (+-5%),,,
188,Africa,West and Central Africa,Burkina Faso,BFA,2018,Sedatives and Tranquillizers,Benzodiazepines,Stable situation (+-5%),,,
189,Africa,West and Central Africa,Burkina Faso,BFA,2018,Sedatives and Tranquillizers,Barbiturates,Stable situation (+-5%),,,
190,Africa,West and Central Africa,Burkina Faso,BFA,2018,Hallucinogens,,Large decrease (>10%),,,
191,Africa,West and Central Africa,Burkina Faso,BFA,2018,Hallucinogens,LSD,Not known,,,
192,Africa,West and Central Africa,Burkina Faso,BFA,2018,Solvents and Inhallants,Solvents and inhalants,Stable situation (+-5%),,,
193,Africa,West and Central Africa,Central African Republic,CAF,2017,Cannabis-type,,Large increase (>10%),,,
194,Africa,West and Central Africa,Central African Republic,CAF,2017,Cannabis-type,Marijuana (herb),Large increase (>10%),,,
195,Africa,West and Central Africa,Central African Republic,CAF,2017,Cannabis-type,Hashish (resin),Stable situation (+-5%),,,
196,Africa,West and Central Africa,Central African Republic,CAF,2017,Opioids,,Stable situation (+-5%),,,
