,Region,SubRegion,ISO3,Country/Territory,Drug Group,Ranking
45,Asia,East and South-East Asia,BRN,Brunei Darussalam, Cannabis-type drugs,2
46,Asia,East and South-East Asia,BRN,Brunei Darussalam, “Ecstasy”-type substances,3
47,Asia,East and South-East Asia,BRN,Brunei Darussalam, Solvents and inhalants,4
48,Asia,East and South-East Asia,BRN,Brunei Darussalam, New psychoactive substances,5
49,Asia,East and South-East Asia,BRN,Brunei Darussalam, Other drugs / psychoactive substances / pharmaceutical products not listed above,6
50,Europe,Western and Central Europe,GRC,Greece,Cannabis-type drugs,1
51,Europe,Western and Central Europe,GRC,Greece, Cocaine-type drugs,2
52,Europe,Western and Central Europe,GRC,Greece, Solvents and inhalants,3
53,Europe,Western and Central Europe,GRC,Greece, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
54,Europe,Western and Central Europe,GRC,Greece, Amphetamine-type stimulants,5
55,Europe,Western and Central Europe,GRC,Greece, “Ecstasy”-type substances,6
56,Europe,Western and Central Europe,GRC,Greece, New psychoactive substances,7
57,Europe,Western and Central Europe,GRC,Greece, Hallucinogens,8
58,Europe,Western and Central Europe,GRC,Greece," Opioids, including opiates and synthetic opioids",9
59,Europe,Western and Central Europe,GRC,Greece, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
60,Asia,Near and Middle East/ South-West Asia,PAK,Pakistan,Cannabis-type drugs,1
61,Asia,Near and Middle East/ South-West Asia,PAK,Pakistan," Opioids, including opiates and synthetic opioids",2
62,Asia,Near and Middle East/ South-West Asia,PAK,Pakistan, Amphetamine-type stimulants,3
63,Asia,Near and Middle East/ South-West Asia,PAK,Pakistan, Cocaine-type drugs,4
64,Asia,East and South-East Asia,MYS,Malaysia,Amphetamine-type stimulants,1
65,Asia,East and South-East Asia,MYS,Malaysia," Opioids, including opiates and synthetic opioids",2
66,Asia,East and South-East Asia,MYS,Malaysia, Cannabis-type drugs,3
67,Asia,East and South-East Asia,MYS,Malaysia, New psychoactive substances,4
68,Asia,East and South-East Asia,MYS,Malaysia, Other drugs / psychoactive substances / pharmaceutical products not listed above,5
69,Asia,East and South-East Asia,MYS,Malaysia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
70,Asia,East and South-East Asia,MYS,Malaysia, “Ecstasy”-type substances,7
71,Americas,Central America,HND,Honduras,Cannabis-type drugs,1
72,Americas,Central America,HND,Honduras, Cocaine-type drugs,2
73,Americas,Central America,HND,Honduras, Solvents and inhalants,3
74,Americas,Central America,HND,Honduras, Amphetamine-type stimulants,4
75,Americas,Central America,HND,Honduras," Opioids, including opiates and synthetic opioids",5
76,Americas,South America,COL,Colombia,Cannabis-type drugs,1
77,Americas,South America,COL,Colombia, Cocaine-type drugs,2
78,Americas,South America,COL,Colombia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
79,Americas,South America,COL,Colombia, Solvents and inhalants,4
80,Americas,South America,COL,Colombia, Hallucinogens,5
81,Americas,South America,COL,Colombia, “Ecstasy”-type substances,6
82,Americas,South America,COL,Colombia," Opioids, including opiates and synthetic opioids",7
83,Europe,South-Eastern Europe,MNE,Montenegro,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
84,Europe,South-Eastern Europe,MNE,Montenegro, Cannabis-type drugs,2
85,Europe,South-Eastern Europe,MNE,Montenegro, Cocaine-type drugs,3
86,Europe,South-Eastern Europe,MNE,Montenegro, Other drugs / psychoactive substances / pharmaceutical products not listed above,4
87,Europe,South-Eastern Europe,MNE,Montenegro, “Ecstasy”-type substances,5
88,Europe,South-Eastern Europe,MNE,Montenegro, Solvents and inhalants,6
89,Europe,South-Eastern Europe,MNE,Montenegro," Opioids, including opiates and synthetic opioids",7
90,Europe,South-Eastern Europe,MNE,Montenegro, Amphetamine-type stimulants,8
91,Europe,South-Eastern Europe,MNE,Montenegro, Hallucinogens,9
92,Europe,South-Eastern Europe,MNE,Montenegro, New psychoactive substances,10
93,Africa,North Africa,DZA,Algeria,Cannabis-type drugs,1
94,Africa,North Africa,DZA,Algeria, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
95,Africa,North Africa,DZA,Algeria, “Ecstasy”-type substances,3
96,Africa,North Africa,DZA,Algeria, Cocaine-type drugs,4
97,Africa,North Africa,DZA,Algeria, Hallucinogens,5
98,Africa,North Africa,DZA,Algeria," Opioids, including opiates and synthetic opioids",6
99,Asia,East and South-East Asia,MMR,Myanmar,Cannabis-type drugs,1
100,Asia,East and South-East Asia,MMR,Myanmar," Opioids, including opiates and synthetic opioids",2
101,Asia,East and South-East Asia,MMR,Myanmar, Amphetamine-type stimulants,3
102,Asia,East and South-East Asia,MMR,Myanmar, “Ecstasy”-type substances,4
103,Asia,East and South-East Asia,MMR,Myanmar, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
104,Asia,East and South-East Asia,MMR,Myanmar, Solvents and inhalants,6
105,Africa,North Africa,EGY,Egypt,Cannabis-type drugs,1
106,Africa,North Africa,EGY,Egypt," Opioids, including opiates and synthetic opioids",2
107,Africa,North Africa,EGY,Egypt, New psychoactive substances,3
108,Africa,North Africa,EGY,Egypt, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
109,Africa,North Africa,EGY,Egypt, Amphetamine-type stimulants,5
110,Africa,North Africa,EGY,Egypt, Hallucinogens,6
111,Africa,North Africa,EGY,Egypt, Cocaine-type drugs,7
112,Africa,North Africa,EGY,Egypt, “Ecstasy”-type substances,8
113,Africa,North Africa,EGY,Egypt, Solvents and inhalants,9
114,Asia,Central Asia and Transcaucasia,ARM,Armenia,Cannabis-type drugs,1
115,Asia,Central Asia and Transcaucasia,ARM,Armenia," Opioids, including opiates and synthetic opioids",2
116,Asia,Central Asia and Transcaucasia,ARM,Armenia, Amphetamine-type stimulants,3
117,Asia,Central Asia and Transcaucasia,ARM,Armenia, “Ecstasy”-type substances,4
118,Asia,Central Asia and Transcaucasia,ARM,Armenia, Cocaine-type drugs,5
119,Asia,Central Asia and Transcaucasia,ARM,Armenia, New psychoactive substances,6
120,Asia,Central Asia and Transcaucasia,ARM,Armenia, Hallucinogens,7
121,Asia,Central Asia and Transcaucasia,ARM,Armenia, Solvents and inhalants,8
122,Asia,Central Asia and Transcaucasia,ARM,Armenia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,9
123,Americas,South America,PER,Peru,Cannabis-type drugs,1
124,Americas,South America,PER,Peru, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
125,Americas,South America,PER,Peru, Solvents and inhalants,3
126,Americas,South America,PER,Peru, Cocaine-type drugs,4
127,Americas,South America,PER,Peru, “Ecstasy”-type substances,5
128,Americas,South America,PER,Peru, Amphetamine-type stimulants,6
129,Africa,Southern Africa,ZWE,Zimbabwe,Cannabis-type drugs,1
130,Africa,Southern Africa,ZWE,Zimbabwe, Amphetamine-type stimulants,2
131,Africa,Southern Africa,ZWE,Zimbabwe, Cocaine-type drugs,3
132,Africa,Southern Africa,ZWE,Zimbabwe, “Ecstasy”-type substances,4
133,Africa,Southern Africa,ZWE,Zimbabwe, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
134,Africa,Southern Africa,ZWE,Zimbabwe, Hallucinogens,6
135,Africa,Southern Africa,ZWE,Zimbabwe," Opioids, including opiates and synthetic opioids",7
136,Americas,Caribbean,HTI,Haiti,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
137,Americas,Caribbean,HTI,Haiti," Opioids, including opiates and synthetic opioids",2
138,Americas,Caribbean,HTI,Haiti, Amphetamine-type stimulants,3
139,Americas,Caribbean,HTI,Haiti, Cannabis-type drugs,4
140,Americas,Caribbean,HTI,Haiti, Solvents and inhalants,5
141,Americas,Caribbean,HTI,Haiti, Cocaine-type drugs,6
142,Americas,Caribbean,HTI,Haiti, Hallucinogens,7
143,Americas,Caribbean,HTI,Haiti, “Ecstasy”-type substances,8
144,Americas,Central America,GTM,Guatemala,Cannabis-type drugs,1
145,Africa,West and Central Africa,NER,Niger (the),Cannabis-type drugs,1
146,Africa,West and Central Africa,NER,Niger (the)," Opioids, including opiates and synthetic opioids",2
147,Africa,West and Central Africa,NER,Niger (the), Cocaine-type drugs,3
148,Africa,West and Central Africa,NER,Niger (the), Amphetamine-type stimulants,4
149,Africa,West and Central Africa,NER,Niger (the), “Ecstasy”-type substances,5
150,Africa,West and Central Africa,NER,Niger (the), Hallucinogens,6
151,Asia,South Asia,IND,India,Cannabis-type drugs,1
152,Asia,South Asia,IND,India," Opioids, including opiates and synthetic opioids",2
153,Asia,South Asia,IND,India, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
154,Asia,South Asia,IND,India, Solvents and inhalants,4
155,Asia,South Asia,IND,India, Cocaine-type drugs,5
156,Americas,Caribbean,TTO,Trinidad and Tobago,Cannabis-type drugs,1
157,Americas,Caribbean,TTO,Trinidad and Tobago, Cocaine-type drugs,2
158,Americas,Caribbean,TTO,Trinidad and Tobago, New psychoactive substances,3
159,Asia,Central Asia and Transcaucasia,AZE,Azerbaijan,"Opioids, including opiates and synthetic opioids",1
160,Asia,Central Asia and Transcaucasia,AZE,Azerbaijan, Cannabis-type drugs,2
161,Asia,Central Asia and Transcaucasia,AZE,Azerbaijan, Amphetamine-type stimulants,3
162,Asia,Central Asia and Transcaucasia,AZE,Azerbaijan, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
163,Africa,West and Central Africa,CIV,Côte d'Ivoire,Cannabis-type drugs,1
164,Africa,West and Central Africa,CIV,Côte d'Ivoire, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
165,Africa,West and Central Africa,CIV,Côte d'Ivoire, Cocaine-type drugs,3
166,Americas,Caribbean,BHS,Bahamas (the),Cannabis-type drugs,1
167,Americas,Caribbean,BHS,Bahamas (the), Cocaine-type drugs,2
168,Americas,Caribbean,BHS,Bahamas (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
169,Americas,Caribbean,BHS,Bahamas (the), Amphetamine-type stimulants,4
170,Americas,Caribbean,BHS,Bahamas (the)," Opioids, including opiates and synthetic opioids",5
171,Americas,Caribbean,BHS,Bahamas (the), “Ecstasy”-type substances,6
172,Americas,Caribbean,BHS,Bahamas (the), Solvents and inhalants,7
173,Americas,Caribbean,BHS,Bahamas (the), Hallucinogens,8
174,Asia,East and South-East Asia,KOR,Republic of Korea (the),Amphetamine-type stimulants,1
175,Asia,East and South-East Asia,KOR,Republic of Korea (the), Cannabis-type drugs,2
176,Asia,East and South-East Asia,KOR,Republic of Korea (the)," Opioids, including opiates and synthetic opioids",3
177,Asia,East and South-East Asia,KOR,Republic of Korea (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
178,Asia,East and South-East Asia,KOR,Republic of Korea (the), New psychoactive substances,5
179,Asia,East and South-East Asia,KOR,Republic of Korea (the), “Ecstasy”-type substances,6
180,Asia,East and South-East Asia,KOR,Republic of Korea (the), Hallucinogens,7
181,Asia,East and South-East Asia,KOR,Republic of Korea (the), Other drugs / psychoactive substances / pharmaceutical products not listed above,8
182,Europe,Western and Central Europe,AND,Andorra,Cannabis-type drugs,1
183,Europe,Western and Central Europe,AND,Andorra, Cocaine-type drugs,2
184,Europe,Western and Central Europe,AND,Andorra, Amphetamine-type stimulants,3
185,Europe,Western and Central Europe,AND,Andorra, Hallucinogens,4
186,Oceania,Australia and New Zealand,NZL,New Zealand,Cannabis-type drugs,1
187,Oceania,Australia and New Zealand,NZL,New Zealand, Amphetamine-type stimulants,2
188,Oceania,Australia and New Zealand,NZL,New Zealand, “Ecstasy”-type substances,3
189,Oceania,Australia and New Zealand,NZL,New Zealand, Cocaine-type drugs,4
190,Europe,Western and Central Europe,FIN,Finland,Cannabis-type drugs,1
191,Europe,Western and Central Europe,FIN,Finland, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
192,Europe,Western and Central Europe,FIN,Finland, Amphetamine-type stimulants,3
193,Europe,Western and Central Europe,FIN,Finland, “Ecstasy”-type substances,4
194,Europe,Western and Central Europe,FIN,Finland, Hallucinogens,5
195,Europe,Western and Central Europe,FIN,Finland, Cocaine-type drugs,6
196,Europe,Western and Central Europe,FIN,Finland," Opioids, including opiates and synthetic opioids",7
197,Europe,Western and Central Europe,FIN,Finland, New psychoactive substances,8
198,Europe,Western and Central Europe,FIN,Finland, Solvents and inhalants,9
199,Europe,Western and Central Europe,FIN,Finland, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
200,Europe,Western and Central Europe,LVA,Latvia,Cannabis-type drugs,1
201,Europe,Western and Central Europe,LVA,Latvia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
202,Europe,Western and Central Europe,LVA,Latvia, Cocaine-type drugs,3
203,Europe,Western and Central Europe,LVA,Latvia, “Ecstasy”-type substances,4
204,Europe,Western and Central Europe,LVA,Latvia, Amphetamine-type stimulants,5
205,Europe,Western and Central Europe,LVA,Latvia, Hallucinogens,6
206,Europe,Western and Central Europe,LVA,Latvia," Opioids, including opiates and synthetic opioids",7
207,Europe,Western and Central Europe,LVA,Latvia, Solvents and inhalants,8
208,Europe,Western and Central Europe,LVA,Latvia, New psychoactive substances,9
209,Europe,Western and Central Europe,SWE,Sweden,Cannabis-type drugs,1
210,Americas,Central America,NIC,Nicaragua,Cannabis-type drugs,1
211,Americas,Central America,NIC,Nicaragua, Cocaine-type drugs,2
212,Americas,Central America,NIC,Nicaragua, Solvents and inhalants,3
213,Asia,Central Asia and Transcaucasia,TJK,Tajikistan,Cannabis-type drugs,1
214,Asia,Central Asia and Transcaucasia,TJK,Tajikistan," Opioids, including opiates and synthetic opioids",2
215,Europe,Western and Central Europe,ITA,Italy,Cannabis-type drugs,1
216,Europe,Western and Central Europe,ITA,Italy, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
217,Europe,Western and Central Europe,ITA,Italy, Cocaine-type drugs,3
218,Europe,Western and Central Europe,ITA,Italy, New psychoactive substances,4
219,Europe,Western and Central Europe,ITA,Italy, Amphetamine-type stimulants,5
220,Europe,Western and Central Europe,ITA,Italy," Opioids, including opiates and synthetic opioids",6
221,Europe,Western and Central Europe,AUT,Austria,Cannabis-type drugs,1
222,Europe,Western and Central Europe,AUT,Austria, Cocaine-type drugs,2
223,Europe,Western and Central Europe,AUT,Austria, Amphetamine-type stimulants,3
224,Europe,Western and Central Europe,AUT,Austria, “Ecstasy”-type substances,4
225,Europe,Western and Central Europe,AUT,Austria," Opioids, including opiates and synthetic opioids",5
226,Europe,Western and Central Europe,AUT,Austria, (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
227,Asia,South Asia,LKA,Sri Lanka,Cannabis-type drugs,1
228,Asia,South Asia,LKA,Sri Lanka," Opioids, including opiates and synthetic opioids",2
229,Asia,South Asia,LKA,Sri Lanka, Amphetamine-type stimulants,3
230,Asia,South Asia,LKA,Sri Lanka, “Ecstasy”-type substances,4
231,Asia,South Asia,LKA,Sri Lanka, Cocaine-type drugs,5
232,Asia,South Asia,LKA,Sri Lanka, (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
233,Europe,Western and Central Europe,CHE,Switzerland,Cannabis-type drugs,1
234,Europe,Western and Central Europe,CHE,Switzerland, Cocaine-type drugs,2
235,Europe,Western and Central Europe,CHE,Switzerland," Opioids, including opiates and synthetic opioids",3
236,Europe,Western and Central Europe,CHE,Switzerland, Amphetamine-type stimulants,4
237,Europe,Western and Central Europe,CHE,Switzerland, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
238,Europe,Western and Central Europe,CHE,Switzerland, “Ecstasy”-type substances,6
239,Africa,Southern Africa,ZAF,South Africa,"Opioids, including opiates and synthetic opioids",1
240,Africa,Southern Africa,ZAF,South Africa, Cannabis-type drugs,2
241,Africa,Southern Africa,ZAF,South Africa, Amphetamine-type stimulants,3
242,Africa,Southern Africa,ZAF,South Africa, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
243,Africa,Southern Africa,ZAF,South Africa, Cocaine-type drugs,5
244,Europe,Western and Central Europe,NOR,Norway,Cannabis-type drugs,1
245,Europe,Western and Central Europe,NOR,Norway, Amphetamine-type stimulants,2
246,Europe,Western and Central Europe,NOR,Norway, Cocaine-type drugs,3
247,Europe,Western and Central Europe,NOR,Norway, “Ecstasy”-type substances,4
248,Europe,Western and Central Europe,NOR,Norway," Opioids, including opiates and synthetic opioids",5
249,Europe,Western and Central Europe,NOR,Norway, (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
250,Europe,Western and Central Europe,DEU,Germany,Cannabis-type drugs,1
251,Europe,Western and Central Europe,DEU,Germany, Amphetamine-type stimulants,2
252,Europe,Western and Central Europe,DEU,Germany, Cocaine-type drugs,3
253,Europe,Western and Central Europe,DEU,Germany, New psychoactive substances,4
254,Europe,Western and Central Europe,DEU,Germany," Opioids, including opiates and synthetic opioids",5
255,Europe,Western and Central Europe,DEU,Germany, Other drugs / psychoactive substances / pharmaceutical products not listed above,6
256,Europe,Western and Central Europe,DEU,Germany, Hallucinogens,7
257,Americas,North America,CAN,Canada,Cannabis-type drugs,1
258,Americas,North America,CAN,Canada," Opioids, including opiates and synthetic opioids",2
259,Americas,North America,CAN,Canada, Cocaine-type drugs,3
260,Americas,North America,CAN,Canada, Hallucinogens,4
261,Americas,North America,CAN,Canada, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
262,Americas,North America,CAN,Canada, “Ecstasy”-type substances,6
263,Americas,North America,CAN,Canada, Amphetamine-type stimulants,7
264,Americas,North America,CAN,Canada, Other drugs / psychoactive substances / pharmaceutical products not listed above,8
265,Americas,North America,CAN,Canada, Solvents and inhalants,9
266,Europe,Western and Central Europe,GIB,Gibraltar,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
267,Europe,Western and Central Europe,GIB,Gibraltar, Cocaine-type drugs,2
268,Europe,Western and Central Europe,GIB,Gibraltar, Cannabis-type drugs,3
269,Europe,Western and Central Europe,GIB,Gibraltar," Opioids, including opiates and synthetic opioids",4
270,Europe,Western and Central Europe,GIB,Gibraltar, Amphetamine-type stimulants,5
271,Americas,South America,VEN,Venezuela (Bolivarian Republic of),Cannabis-type drugs,1
272,Americas,South America,VEN,Venezuela (Bolivarian Republic of), Cocaine-type drugs,2
273,Europe,South-Eastern Europe,SRB,Serbia,Cannabis-type drugs,1
274,Africa,East Africa,MUS,Mauritius,Cannabis-type drugs,1
275,Africa,East Africa,MUS,Mauritius, New psychoactive substances,2
276,Africa,East Africa,MUS,Mauritius," Opioids, including opiates and synthetic opioids",3
277,Europe,Western and Central Europe,BEL,Belgium,Cannabis-type drugs,1
278,Europe,Western and Central Europe,BEL,Belgium, Cocaine-type drugs,2
279,Europe,Western and Central Europe,BEL,Belgium, “Ecstasy”-type substances,3
280,Europe,Western and Central Europe,BEL,Belgium, Amphetamine-type stimulants,4
281,Europe,Western and Central Europe,BEL,Belgium," Opioids, including opiates and synthetic opioids",5
282,Europe,Western and Central Europe,BEL,Belgium, Hallucinogens,6
283,Europe,Western and Central Europe,BEL,Belgium, New psychoactive substances,7
284,Europe,Western and Central Europe,BEL,Belgium, (Non-medical use of) pharmaceutical sedatives and tranquillizers,8
285,Europe,Western and Central Europe,BEL,Belgium, Solvents and inhalants,9
286,Europe,Western and Central Europe,BEL,Belgium, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
287,Asia,South Asia,BTN,Bhutan,Cannabis-type drugs,1
288,Asia,South Asia,BTN,Bhutan, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
289,Asia,South Asia,BTN,Bhutan," Opioids, including opiates and synthetic opioids",3
290,Asia,South Asia,BTN,Bhutan, Solvents and inhalants,4
291,Europe,South-Eastern Europe,BGR,Bulgaria,Cannabis-type drugs,1
292,Europe,South-Eastern Europe,BGR,Bulgaria, Amphetamine-type stimulants,2
293,Europe,South-Eastern Europe,BGR,Bulgaria, Cocaine-type drugs,3
294,Europe,South-Eastern Europe,BGR,Bulgaria, “Ecstasy”-type substances,4
295,Europe,South-Eastern Europe,BGR,Bulgaria," Opioids, including opiates and synthetic opioids",5
296,Europe,South-Eastern Europe,BGR,Bulgaria, New psychoactive substances,6
297,Europe,South-Eastern Europe,BGR,Bulgaria, (Non-medical use of) pharmaceutical sedatives and tranquillizers,7
298,Europe,South-Eastern Europe,BGR,Bulgaria, Hallucinogens,8
299,Europe,South-Eastern Europe,BGR,Bulgaria, Solvents and inhalants,9
300,Europe,Western and Central Europe,LUX,Luxembourg,Cannabis-type drugs,1
301,Europe,Western and Central Europe,LUX,Luxembourg, Cocaine-type drugs,2
302,Europe,Western and Central Europe,LUX,Luxembourg, “Ecstasy”-type substances,3
303,Europe,Western and Central Europe,LUX,Luxembourg, Hallucinogens,4
304,Europe,Western and Central Europe,LUX,Luxembourg, Amphetamine-type stimulants,5
305,Europe,Western and Central Europe,LUX,Luxembourg, Solvents and inhalants,6
306,Europe,Western and Central Europe,LUX,Luxembourg," Opioids, including opiates and synthetic opioids",7
307,Europe,Western and Central Europe,LUX,Luxembourg, New psychoactive substances,8
308,Americas,North America,MEX,Mexico,Cannabis-type drugs,1
309,Americas,North America,MEX,Mexico, Cocaine-type drugs,2
310,Americas,North America,MEX,Mexico, Amphetamine-type stimulants,3
311,Americas,North America,MEX,Mexico, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
312,Americas,North America,MEX,Mexico, Solvents and inhalants,5
313,Americas,North America,MEX,Mexico, Hallucinogens,6
314,Americas,North America,MEX,Mexico," Opioids, including opiates and synthetic opioids",7
315,Africa,West and Central Africa,NGA,Nigeria,Cannabis-type drugs,1
316,Africa,West and Central Africa,NGA,Nigeria," Opioids, including opiates and synthetic opioids",2
317,Africa,West and Central Africa,NGA,Nigeria, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
318,Africa,West and Central Africa,NGA,Nigeria, “Ecstasy”-type substances,4
319,Africa,West and Central Africa,NGA,Nigeria, Solvents and inhalants,5
320,Europe,Eastern Europe,BLR,Belarus,"Opioids, including opiates and synthetic opioids",1
321,Europe,Eastern Europe,BLR,Belarus, Cannabis-type drugs,2
322,Europe,Eastern Europe,BLR,Belarus, Amphetamine-type stimulants,3
323,Americas,South America,ECU,Ecuador,Cannabis-type drugs,1
324,Americas,South America,ECU,Ecuador," Opioids, including opiates and synthetic opioids",2
325,Americas,South America,ECU,Ecuador, Cocaine-type drugs,3
326,Americas,South America,ECU,Ecuador, “Ecstasy”-type substances,4
327,Americas,South America,ECU,Ecuador, Amphetamine-type stimulants,5
328,Americas,South America,ECU,Ecuador, Solvents and inhalants,6
329,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon,Cannabis-type drugs,1
330,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, Cocaine-type drugs,2
331,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon," Opioids, including opiates and synthetic opioids",3
332,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, Amphetamine-type stimulants,4
333,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, Other drugs / psychoactive substances / pharmaceutical products not listed above,5
334,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, New psychoactive substances,6
335,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, Solvents and inhalants,7
336,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, (Non-medical use of) pharmaceutical sedatives and tranquillizers,8
337,Asia,Near and Middle East/ South-West Asia,LBN,Lebanon, Hallucinogens,9
338,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the),Cannabis-type drugs,1
339,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), “Ecstasy”-type substances,2
340,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), Other drugs / psychoactive substances / pharmaceutical products not listed above,3
341,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), New psychoactive substances,4
342,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the)," Opioids, including opiates and synthetic opioids",5
343,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), Cocaine-type drugs,6
